edge,weight
0-1,880.78
0-2,2190.92
0-3,2335.42
0-4,545.79
0-5,810.95
0-6,5946.38
0-7,5481.78
0-8,964.55
0-9,2342.89
1-2,5532.18
1-3,5572.27
1-4,572.83
1-5,105.76
1-6,4988.97
1-7,96.76
1-8,118.49
1-9,915.09
2-3,119.91
2-4,1640.54
2-5,95.57
2-6,1195.1
2-7,2221.97
2-8,1698.73
2-9,2090.42
3-4,1180.04
3-5,863.6
3-6,4498.56
3-7,2144.76
3-8,496.66
3-9,2155.73
4-5,1131.73
4-6,116.93
4-7,1821.18
4-8,1783.54
4-9,446.94
5-6,83.75
5-7,1173.12
5-8,4764.44
5-9,4750.28
6-7,515.72
6-8,443.33
6-9,599.44
7-8,104.56
7-9,100.59
8-9,95.42
