activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749400145.2382288,1
aggregation,,False,,,1,GossipAvg,1749400152.631581,
aggregation,,True,,,1,GossipAvg,1749400152.631588,
aggregation,,False,,,1,GossipAvg,1749400152.6315958,
model_update,,,,36.20868082371938,1,,1749400153.2123153,
local_training,,,{},,2,,1749400153.5495143,1
aggregation,,False,,,2,GossipAvg,1749400154.906515,
aggregation,,True,,,2,GossipAvg,1749400154.9065218,
aggregation,,False,,,2,GossipAvg,1749400154.9065287,
model_update,,,,22.657136973530935,2,,1749400155.4374588,
local_training,,,{},,3,,1749400155.7749846,1
aggregation,,False,,,3,GossipAvg,1749400157.0987275,
aggregation,,True,,,3,GossipAvg,1749400157.0987346,
aggregation,,False,,,3,GossipAvg,1749400157.0987425,
model_update,,,,18.207305335140965,3,,1749400157.620621,
