param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.3690683841705322, 'mean': 0.0028142272494733334, 'std': 0.19850431382656097}",1,0,,29,1749401182.0713005,parameter_transfer
"{'norm': 3.3690683841705322, 'mean': 0.0028142272494733334, 'std': 0.19850431382656097}",1,0,,1,1749401182.0713005,parameter_transfer
"{'norm': 3.382450580596924, 'mean': 0.0032034055329859257, 'std': 0.1992870718240738}",1,1,,0,1749401182.0713553,parameter_transfer
"{'norm': 3.382450580596924, 'mean': 0.0032034055329859257, 'std': 0.1992870718240738}",1,1,,2,1749401182.0713553,parameter_transfer
"{'norm': 3.363337993621826, 'mean': 0.0007719223503954709, 'std': 0.19818508625030518}",1,2,,1,1749401182.0713756,parameter_transfer
"{'norm': 3.363337993621826, 'mean': 0.0007719223503954709, 'std': 0.19818508625030518}",1,2,,3,1749401182.0713756,parameter_transfer
"{'norm': 3.3629000186920166, 'mean': 0.0015343723352998495, 'std': 0.19815486669540405}",1,3,,2,1749401182.071395,parameter_transfer
"{'norm': 3.3629000186920166, 'mean': 0.0015343723352998495, 'std': 0.19815486669540405}",1,3,,4,1749401182.071395,parameter_transfer
"{'norm': 3.3614704608917236, 'mean': 0.001431052922271192, 'std': 0.19807137548923492}",1,4,,3,1749401182.0714111,parameter_transfer
"{'norm': 3.3614704608917236, 'mean': 0.001431052922271192, 'std': 0.19807137548923492}",1,4,,5,1749401182.0714111,parameter_transfer
"{'norm': 3.371223211288452, 'mean': 0.0013767577474936843, 'std': 0.1986464560031891}",1,5,,4,1749401182.0714278,parameter_transfer
"{'norm': 3.371223211288452, 'mean': 0.0013767577474936843, 'std': 0.1986464560031891}",1,5,,6,1749401182.0714278,parameter_transfer
"{'norm': 3.371370792388916, 'mean': 0.0011745826341211796, 'std': 0.19865645468235016}",1,6,,5,1749401182.0714436,parameter_transfer
"{'norm': 3.371370792388916, 'mean': 0.0011745826341211796, 'std': 0.19865645468235016}",1,6,,7,1749401182.0714436,parameter_transfer
"{'norm': 3.3726656436920166, 'mean': 0.0012074547121301293, 'std': 0.19873255491256714}",1,7,,6,1749401182.0714595,parameter_transfer
"{'norm': 3.3726656436920166, 'mean': 0.0012074547121301293, 'std': 0.19873255491256714}",1,7,,8,1749401182.0714595,parameter_transfer
"{'norm': 3.3648524284362793, 'mean': 0.0016389930387958884, 'std': 0.1982690542936325}",1,8,,7,1749401182.0714753,parameter_transfer
"{'norm': 3.3648524284362793, 'mean': 0.0016389930387958884, 'std': 0.1982690542936325}",1,8,,9,1749401182.0714753,parameter_transfer
"{'norm': 3.361874580383301, 'mean': 0.0010295954998582602, 'std': 0.19809769093990326}",1,9,,8,1749401182.071491,parameter_transfer
"{'norm': 3.361874580383301, 'mean': 0.0010295954998582602, 'std': 0.19809769093990326}",1,9,,10,1749401182.071491,parameter_transfer
"{'norm': 3.3609883785247803, 'mean': 0.0014064201386645436, 'std': 0.19804315268993378}",1,10,,9,1749401182.071506,parameter_transfer
"{'norm': 3.3609883785247803, 'mean': 0.0014064201386645436, 'std': 0.19804315268993378}",1,10,,11,1749401182.071506,parameter_transfer
"{'norm': 3.3593592643737793, 'mean': 0.0009482960449531674, 'std': 0.1979498714208603}",1,11,,10,1749401182.0715215,parameter_transfer
"{'norm': 3.3593592643737793, 'mean': 0.0009482960449531674, 'std': 0.1979498714208603}",1,11,,12,1749401182.0715215,parameter_transfer
"{'norm': 3.3590638637542725, 'mean': 0.0013416721485555172, 'std': 0.19793018698692322}",1,12,,11,1749401182.071547,parameter_transfer
"{'norm': 3.3590638637542725, 'mean': 0.0013416721485555172, 'std': 0.19793018698692322}",1,12,,13,1749401182.071547,parameter_transfer
"{'norm': 3.342257261276245, 'mean': 0.0010009974939748645, 'std': 0.19694185256958008}",1,13,,12,1749401182.071563,parameter_transfer
"{'norm': 3.342257261276245, 'mean': 0.0010009974939748645, 'std': 0.19694185256958008}",1,13,,14,1749401182.071563,parameter_transfer
"{'norm': 3.366161823272705, 'mean': 0.001826740801334381, 'std': 0.19834458827972412}",1,14,,13,1749401182.0715802,parameter_transfer
"{'norm': 3.366161823272705, 'mean': 0.001826740801334381, 'std': 0.19834458827972412}",1,14,,15,1749401182.0715802,parameter_transfer
"{'norm': 3.3579516410827637, 'mean': 0.001144084963016212, 'std': 0.19786588847637177}",1,15,,14,1749401182.0716002,parameter_transfer
"{'norm': 3.3579516410827637, 'mean': 0.001144084963016212, 'std': 0.19786588847637177}",1,15,,16,1749401182.0716002,parameter_transfer
"{'norm': 3.370546340942383, 'mean': 0.0009988931706175208, 'std': 0.19860883057117462}",1,16,,15,1749401182.0716164,parameter_transfer
"{'norm': 3.370546340942383, 'mean': 0.0009988931706175208, 'std': 0.19860883057117462}",1,16,,17,1749401182.0716164,parameter_transfer
"{'norm': 3.3695454597473145, 'mean': 0.0010509724961593747, 'std': 0.19854958355426788}",1,17,,16,1749401182.0716324,parameter_transfer
"{'norm': 3.3695454597473145, 'mean': 0.0010509724961593747, 'std': 0.19854958355426788}",1,17,,18,1749401182.0716324,parameter_transfer
"{'norm': 3.3591506481170654, 'mean': 0.0021338453516364098, 'std': 0.19792833924293518}",1,18,,17,1749401182.0716472,parameter_transfer
"{'norm': 3.3591506481170654, 'mean': 0.0021338453516364098, 'std': 0.19792833924293518}",1,18,,19,1749401182.0716472,parameter_transfer
"{'norm': 3.3746352195739746, 'mean': 0.0017372681759297848, 'std': 0.19884468615055084}",1,19,,18,1749401182.0716624,parameter_transfer
"{'norm': 3.3746352195739746, 'mean': 0.0017372681759297848, 'std': 0.19884468615055084}",1,19,,20,1749401182.0716624,parameter_transfer
"{'norm': 3.3587706089019775, 'mean': 0.0007409859099425375, 'std': 0.19791606068611145}",1,20,,19,1749401182.0716784,parameter_transfer
"{'norm': 3.3587706089019775, 'mean': 0.0007409859099425375, 'std': 0.19791606068611145}",1,20,,21,1749401182.0716784,parameter_transfer
"{'norm': 3.369183301925659, 'mean': 0.0014436671044677496, 'std': 0.19852577149868011}",1,21,,20,1749401182.0716953,parameter_transfer
"{'norm': 3.369183301925659, 'mean': 0.0014436671044677496, 'std': 0.19852577149868011}",1,21,,22,1749401182.0716953,parameter_transfer
"{'norm': 3.3538522720336914, 'mean': 0.001396412611939013, 'std': 0.19762271642684937}",1,22,,21,1749401182.0717134,parameter_transfer
"{'norm': 3.3538522720336914, 'mean': 0.001396412611939013, 'std': 0.19762271642684937}",1,22,,23,1749401182.0717134,parameter_transfer
"{'norm': 3.363328695297241, 'mean': 0.0010273084044456482, 'std': 0.19818337261676788}",1,23,,22,1749401182.0717294,parameter_transfer
