accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,5428.571428571428,,NetworkStructureEvent,,,0.14285714285714285,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749406069.6289244,line,556,3,,32,1888,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749406069.6290736,line,,,,,,
0.010484273589615577,,,,,EvaluationEvent,1.9411188314631171,"{'loss': 1.9411188314631171, 'accuracy': 0.010484273589615577}",,,,,,,,,,,,,0,,evaluation,,,1749406083.637673,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749406083.637822,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.231041431427002, 'mean': -0.004394507966935635, 'std': 0.10983438044786453}}",,1,0,parameter_transfer,,1,1749406109.0838768,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.2354698181152344, 'mean': -0.0034668275620788336, 'std': 0.11001831293106079}}",,1,1,parameter_transfer,,0,1749406109.0839307,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.2328989505767822, 'mean': -0.00465024309232831, 'std': 0.10988710075616837}}",,1,2,parameter_transfer,,1,1749406109.0839493,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.2265663146972656, 'mean': -0.00534288864582777, 'std': 0.10963991284370422}}",,1,3,parameter_transfer,,2,1749406109.0839639,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.2318830490112305, 'mean': -0.005209275055676699, 'std': 0.10982741415500641}}",,1,4,parameter_transfer,,3,1749406109.0839782,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{5: {'norm': 3.2255942821502686, 'mean': -0.004731068853288889, 'std': 0.10963491350412369}}",,1,5,parameter_transfer,,4,1749406109.0839932,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{6: {'norm': 3.2263994216918945, 'mean': -0.005182876717299223, 'std': 0.1096419021487236}}",,1,6,parameter_transfer,,5,1749406109.084027,,,,,,,
,,0,,,AggregationEvent,,,,,,,2,,,,,,,"0,1",1,,aggregation,GossipAvg,,1749406109.0840476,,,,,,,
,,1,,,AggregationEvent,,,,,,,2,,,,,,,"1,0",1,,aggregation,GossipAvg,,1749406109.0840607,,,,,,,
,,2,,,AggregationEvent,,,,,,,2,,,,,,,"2,1",1,,aggregation,GossipAvg,,1749406109.0840688,,,,,,,
,,3,,,AggregationEvent,,,,,,,2,,,,,,,"3,2",1,,aggregation,GossipAvg,,1749406109.084084,,,,,,,
,,4,,,AggregationEvent,,,,,,,2,,,,,,,"4,3",1,,aggregation,GossipAvg,,1749406109.08409,,,,,,,
,,5,,,AggregationEvent,,,,,,,2,,,,,,,"5,4",1,,aggregation,GossipAvg,,1749406109.084096,,,,,,,
,,6,,,AggregationEvent,,,,,,,2,,,,,,,"6,5",1,,aggregation,GossipAvg,,1749406109.084102,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,7,,5628.125254777232,,,1,,model_update,,,1749406110.5047042,,,,,,,"0,1,2,3,4,5,6"
0.10883674488267599,,,,,EvaluationEvent,1.838907083153308,"{'loss': 1.838907083153308, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,1,,evaluation,,,1749406110.99101,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,2,,local_training,,,1749406110.9911592,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.2291245460510254, 'mean': -0.004696143325418234, 'std': 0.10975662618875504}}",,2,0,parameter_transfer,,1,1749406131.1923666,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.231640577316284, 'mean': -0.004558615852147341, 'std': 0.10984809696674347}}",,2,1,parameter_transfer,,0,1749406131.1924148,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.229482412338257, 'mean': -0.0036521973088383675, 'std': 0.10980850458145142}}",,2,2,parameter_transfer,,1,1749406131.192433,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.227046012878418, 'mean': -0.004057291429489851, 'std': 0.10971134901046753}}",,2,3,parameter_transfer,,2,1749406131.1924489,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.226773977279663, 'mean': -0.00450697960332036, 'std': 0.1096845269203186}}",,2,4,parameter_transfer,,3,1749406131.1924632,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{5: {'norm': 3.2266757488250732, 'mean': -0.0042225210927426815, 'std': 0.10969249904155731}}",,2,5,parameter_transfer,,4,1749406131.1924763,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{6: {'norm': 3.2271084785461426, 'mean': -0.004658132325857878, 'std': 0.10968959331512451}}",,2,6,parameter_transfer,,5,1749406131.1924887,,,,,,,
