node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,GDPR,4,512,tier1_hospital,0.991,high,10000
1,clinic_001,5000,tier_2,16,HIPAA,2,64,tier2_hospital,0.958,standard,10000
2,research_center_002,5000,tier_3,64,local,8,256,research_center,0.981,high,100000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,16,mobile_unit,0.867,high,1000
4,edge_device_004,500,tier_2,8,GDPR,0,32,edge_device,0.826,high,1000
5,hospital_005,2000,tier_1,128,HIPAA,16,512,tier1_hospital,0.951,standard,50000
6,clinic_006,1000,tier_2,32,local,8,64,tier2_hospital,0.928,high,20000
7,research_center_007,10000,tier_3,128,PIPEDA,16,256,research_center,0.987,high,50000
8,mobile_unit_008,1000,tier_1,8,HIPAA,2,16,mobile_unit,0.752,critical,1000
9,edge_device_009,50,tier_2,8,PIPEDA,0,32,edge_device,0.772,high,2000
