node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.055458,-92.488356,north_america,America/Chicago
1,Baltimore,USA,39.291485,-76.627071,europe,America/New_York
2,Palo Alto,USA,37.47683,-122.191904,asia_pacific,America/Los_Angeles
3,Boston,USA,42.346166,-71.075952,south_america,America/New_York
4,Los Angeles,USA,34.09856,-118.196464,africa,America/Los_Angeles
5,London,UK,51.532104,-0.122863,north_america,Europe/London
6,Paris,France,48.830815,2.308142,europe,Europe/Paris
7,Tokyo,Japan,35.664125,139.678481,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.386453,103.829881,south_america,Asia/Singapore
9,Sydney,Australia,-33.874397,151.183584,africa,Australia/Sydney
