node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,PIPEDA,4,512,tier1_hospital,0.989,critical,50000
1,clinic_001,1000,tier_2,64,HIPAA,4,128,tier2_hospital,0.931,standard,5000
2,research_center_002,20000,tier_3,128,HIPAA,16,512,research_center,0.994,critical,50000
3,mobile_unit_003,1000,tier_1,8,local,1,64,mobile_unit,0.874,standard,1000
4,edge_device_004,500,tier_2,8,GDPR,0,8,edge_device,0.74,high,1000
5,hospital_005,5000,tier_1,64,GDPR,4,256,tier1_hospital,0.978,critical,20000
6,clinic_006,1000,tier_2,16,GDPR,8,128,tier2_hospital,0.935,critical,5000
7,research_center_007,5000,tier_3,64,local,8,1024,research_center,0.981,high,20000
8,mobile_unit_008,500,tier_1,16,PIPEDA,2,16,mobile_unit,0.834,critical,5000
9,edge_device_009,500,tier_2,4,PIPEDA,0,16,edge_device,0.893,critical,500
10,hospital_010,10000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.989,standard,50000
11,clinic_011,1000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.918,high,10000
12,research_center_012,10000,tier_3,64,PIPEDA,32,256,research_center,0.984,high,50000
13,mobile_unit_013,500,tier_1,16,PIPEDA,2,64,mobile_unit,0.875,critical,2000
14,edge_device_014,50,tier_2,4,local,1,8,edge_device,0.784,critical,2000
