param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.255795478820801, 'mean': 0.004021615721285343, 'std': 0.1106913760304451}",1,1,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2538797855377197, 'mean': 0.003990920726209879, 'std': 0.11062727868556976}",1,2,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2534217834472656, 'mean': 0.00407756632193923, 'std': 0.1106085255742073}",1,3,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2560489177703857, 'mean': 0.003963309805840254, 'std': 0.11070211231708527}",1,4,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2570724487304688, 'mean': 0.004010971635580063, 'std': 0.11073523759841919}",1,5,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2576568126678467, 'mean': 0.0040928395465016365, 'std': 0.11075213551521301}",1,6,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2563393115997314, 'mean': 0.004011193756014109, 'std': 0.1107102707028389}",1,7,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2543234825134277, 'mean': 0.003987322095781565, 'std': 0.11064250767230988}",1,8,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2553446292877197, 'mean': 0.003949189558625221, 'std': 0.11067865043878555}",1,9,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.256199836730957, 'mean': 0.003999562934041023, 'std': 0.11070594191551208}",1,10,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2554233074188232, 'mean': 0.0040055629797279835, 'std': 0.11067929118871689}",1,11,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.255523681640625, 'mean': 0.003999882843345404, 'std': 0.110682912170887}",1,12,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.255558967590332, 'mean': 0.003977465908974409, 'std': 0.11068492382764816}",1,13,,0,1749413683.3658981,parameter_transfer
"{'norm': 3.2550721168518066, 'mean': 0.003968303557485342, 'std': 0.11066868156194687}",1,14,,0,1749413683.3658981,parameter_transfer
,1,1,FedAvg,0,1749413683.3660586,aggregation
,1,2,FedAvg,0,1749413683.3660586,aggregation
,1,3,FedAvg,0,1749413683.3660586,aggregation
,1,4,FedAvg,0,1749413683.3660586,aggregation
,1,5,FedAvg,0,1749413683.3660586,aggregation
,1,6,FedAvg,0,1749413683.3660586,aggregation
,1,7,FedAvg,0,1749413683.3660586,aggregation
,1,8,FedAvg,0,1749413683.3660586,aggregation
,1,9,FedAvg,0,1749413683.3660586,aggregation
,1,10,FedAvg,0,1749413683.3660586,aggregation
,1,11,FedAvg,0,1749413683.3660586,aggregation
,1,12,FedAvg,0,1749413683.3660586,aggregation
,1,13,FedAvg,0,1749413683.3660586,aggregation
,1,14,FedAvg,0,1749413683.3660586,aggregation
"{'norm': 3.256385564804077, 'mean': 0.004025031812489033, 'std': 0.11071134358644485}",2,1,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2538812160491943, 'mean': 0.003946914803236723, 'std': 0.11062890291213989}",2,2,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.254297971725464, 'mean': 0.00404832698404789, 'std': 0.11063943058252335}",2,3,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.257654905319214, 'mean': 0.004051534924656153, 'std': 0.11075358837842941}",2,4,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.254594564437866, 'mean': 0.004052374511957169, 'std': 0.11064937710762024}",2,5,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2597670555114746, 'mean': 0.003990707453340292, 'std': 0.11082770675420761}",2,6,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2559726238250732, 'mean': 0.004068210255354643, 'std': 0.11069570481777191}",2,7,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2546980381011963, 'mean': 0.003997455351054668, 'std': 0.11065489798784256}",2,8,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2564759254455566, 'mean': 0.003995612729340792, 'std': 0.11071547865867615}",2,9,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.256955146789551, 'mean': 0.004005687311291695, 'std': 0.11073143035173416}",2,10,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2551827430725098, 'mean': 0.0040802243165671825, 'std': 0.1106683760881424}",2,11,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.256645917892456, 'mean': 0.004027340095490217, 'std': 0.11072012782096863}",2,12,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.2562096118927, 'mean': 0.004003436304628849, 'std': 0.11070612818002701}",2,13,,0,1749413695.1612337,parameter_transfer
"{'norm': 3.256054639816284, 'mean': 0.003966903313994408, 'std': 0.11070217192173004}",2,14,,0,1749413695.1612337,parameter_transfer
,2,1,FedAvg,0,1749413695.1614006,aggregation
,2,2,FedAvg,0,1749413695.1614006,aggregation
,2,3,FedAvg,0,1749413695.1614006,aggregation
,2,4,FedAvg,0,1749413695.1614006,aggregation
,2,5,FedAvg,0,1749413695.1614006,aggregation
,2,6,FedAvg,0,1749413695.1614006,aggregation
,2,7,FedAvg,0,1749413695.1614006,aggregation
,2,8,FedAvg,0,1749413695.1614006,aggregation
,2,9,FedAvg,0,1749413695.1614006,aggregation
,2,10,FedAvg,0,1749413695.1614006,aggregation
,2,11,FedAvg,0,1749413695.1614006,aggregation
,2,12,FedAvg,0,1749413695.1614006,aggregation
,2,13,FedAvg,0,1749413695.1614006,aggregation
,2,14,FedAvg,0,1749413695.1614006,aggregation
"{'norm': 3.2536497116088867, 'mean': 0.00397025141865015, 'std': 0.11062018573284149}",3,1,,0,1749413706.783851,parameter_transfer
"{'norm': 3.253303289413452, 'mean': 0.004047555383294821, 'std': 0.11060558259487152}",3,2,,0,1749413706.783851,parameter_transfer
"{'norm': 3.262233257293701, 'mean': 0.004028143361210823, 'std': 0.11091030389070511}",3,3,,0,1749413706.783851,parameter_transfer
"{'norm': 3.2597296237945557, 'mean': 0.003943174611777067, 'std': 0.11082812398672104}",3,4,,0,1749413706.783851,parameter_transfer
"{'norm': 3.259402275085449, 'mean': 0.003981166519224644, 'std': 0.1108156219124794}",3,5,,0,1749413706.783851,parameter_transfer
"{'norm': 3.257545232772827, 'mean': 0.003951390739530325, 'std': 0.11075346916913986}",3,6,,0,1749413706.783851,parameter_transfer
"{'norm': 3.256523609161377, 'mean': 0.004069540649652481, 'std': 0.11071442067623138}",3,7,,0,1749413706.783851,parameter_transfer
"{'norm': 3.2553043365478516, 'mean': 0.004015585407614708, 'std': 0.11067488044500351}",3,8,,0,1749413706.783851,parameter_transfer
