node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,GDPR,8,256,tier1_hospital,0.989,high,10000
1,clinic_001,2000,tier_2,16,local,2,64,tier2_hospital,0.946,standard,5000
2,research_center_002,5000,tier_3,64,PIPEDA,32,256,research_center,0.98,standard,100000
3,mobile_unit_003,500,tier_1,16,GDPR,1,64,mobile_unit,0.778,standard,1000
4,edge_device_004,50,tier_2,8,HIPAA,1,32,edge_device,0.834,standard,1000
5,hospital_005,2000,tier_1,128,local,16,256,tier1_hospital,0.961,high,10000
6,clinic_006,1000,tier_2,16,HIPAA,2,128,tier2_hospital,0.913,standard,10000
7,research_center_007,10000,tier_3,128,HIPAA,16,512,research_center,0.995,critical,50000
8,mobile_unit_008,500,tier_1,16,GDPR,1,32,mobile_unit,0.865,standard,1000
9,edge_device_009,50,tier_2,4,HIPAA,1,8,edge_device,0.812,high,1000
10,hospital_010,2000,tier_1,32,local,4,512,tier1_hospital,0.958,high,20000
11,clinic_011,1000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.973,standard,20000
12,research_center_012,5000,tier_3,256,HIPAA,8,256,research_center,0.994,critical,20000
13,mobile_unit_013,100,tier_1,16,local,2,16,mobile_unit,0.874,standard,5000
14,edge_device_014,50,tier_2,2,HIPAA,0,32,edge_device,0.701,standard,500
15,hospital_015,2000,tier_1,64,HIPAA,8,256,tier1_hospital,0.97,high,10000
16,clinic_016,1000,tier_2,32,HIPAA,8,128,tier2_hospital,0.905,critical,5000
17,research_center_017,5000,tier_3,128,local,32,1024,research_center,0.988,high,100000
18,mobile_unit_018,1000,tier_1,16,local,1,64,mobile_unit,0.851,critical,5000
19,edge_device_019,100,tier_2,2,GDPR,1,8,edge_device,0.845,standard,2000
