node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,FedRAMP,radiology,1955,mixed,mayo_clinic,tier1_hospital,2640
1,local,SOC2,oncology,2020,mixed,johns_hopkins,tier2_hospital,1627
2,regional,FedRAMP,cardiology,1982,public,stanford_med,research_center,1095
3,national,SOC2,neurology,1987,research_grant,mass_general,mobile_unit,2738
4,local,SOC2,pathology,1976,private,ucla_health,edge_device,3163
5,regional,FedRAMP,radiology,1954,research_grant,mayo_clinic,tier1_hospital,341
6,international,SOC2,oncology,1962,research_grant,johns_hopkins,tier2_hospital,3237
7,regional,ISO27001,cardiology,1971,public,stanford_med,research_center,3873
8,national,ISO27001,neurology,1981,research_grant,mass_general,mobile_unit,3732
9,national,SOC2,pathology,2013,mixed,ucla_health,edge_device,1158
10,regional,SOC2,radiology,1984,mixed,mayo_clinic,tier1_hospital,156
11,national,ISO27001,oncology,1958,mixed,johns_hopkins,tier2_hospital,73
12,international,HIPAA_compliant,cardiology,2000,private,stanford_med,research_center,4220
13,regional,HIPAA_compliant,neurology,2007,research_grant,mass_general,mobile_unit,2914
14,national,HIPAA_compliant,pathology,1996,private,ucla_health,edge_device,4922
15,local,ISO27001,radiology,1981,mixed,mayo_clinic,tier1_hospital,4395
16,local,FedRAMP,oncology,2014,public,johns_hopkins,tier2_hospital,726
17,regional,FedRAMP,cardiology,1962,mixed,stanford_med,research_center,776
18,international,SOC2,neurology,1963,mixed,mass_general,mobile_unit,3292
19,international,FedRAMP,pathology,2017,mixed,ucla_health,edge_device,4160
