activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749428140.9400136,1
aggregation,,False,,,1,GossipAvg,1749428158.877457,
aggregation,,True,,,1,GossipAvg,1749428158.877471,
aggregation,,False,,,1,GossipAvg,1749428158.8774793,
model_update,,,,0.943613217157802,1,,1749428162.07092,
local_training,,,{},,2,,1749428162.5713477,1
aggregation,,False,,,2,GossipAvg,1749428169.0847068,
aggregation,,True,,,2,GossipAvg,1749428169.0847178,
aggregation,,False,,,2,GossipAvg,1749428169.0847259,
model_update,,,,1.1448369058176981,2,,1749428171.6447067,
local_training,,,{},,3,,1749428172.1447153,1
aggregation,,False,,,3,GossipAvg,1749428178.6205392,
aggregation,,True,,,3,GossipAvg,1749428178.62055,
aggregation,,False,,,3,GossipAvg,1749428178.6205575,
model_update,,,,1.1502393006980955,3,,1749428181.2974453,
