accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4490.0,,NetworkStructureEvent,,,0.034482758620689655,"{'tier1_hospital': 6, 'tier2_hospital': 6, 'research_center': 6, 'mobile_unit': 6, 'edge_device': 6}",,30,,,,,5,,,,0,,network_structure,,,1749431051.1215298,line,1586,15,,196,7752,
,,,,,InitialStateEvent,,,,,,30,,,,,,,,,0,,initial_state,,,1749431051.121701,line,,,,,,
0.017473789316025962,,,,,EvaluationEvent,2.0619370759991607,"{'loss': 2.0619370759991607, 'accuracy': 0.017473789316025962}",,,,,,,,,,,,,0,,evaluation,,,1749431069.700407,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",,,,LocalTrainingEvent,,{},,,30,,,,,,,,,,1,,local_training,,,1749431069.7005477,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.3177602291107178, 'mean': 0.0024706036783754826, 'std': 0.11284545063972473}}",,1,0,parameter_transfer,,1,1749431088.2226014,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.3183162212371826, 'mean': 0.002495902357622981, 'std': 0.11286381632089615}}",,1,1,parameter_transfer,,0,1749431088.2226496,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.318174362182617, 'mean': 0.002474391832947731, 'std': 0.11285946518182755}}",,1,2,parameter_transfer,,1,1749431088.222668,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.318223237991333, 'mean': 0.0024858834221959114, 'std': 0.11286087334156036}}",,1,3,parameter_transfer,,2,1749431088.2226846,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.3183534145355225, 'mean': 0.0024702756199985743, 'std': 0.1128656417131424}}",,1,4,parameter_transfer,,3,1749431088.2227008,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{5: {'norm': 3.3183910846710205, 'mean': 0.002466419478878379, 'std': 0.11286701261997223}}",,1,5,parameter_transfer,,4,1749431088.2227151,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{6: {'norm': 3.3186233043670654, 'mean': 0.002473799977451563, 'std': 0.11287474632263184}}",,1,6,parameter_transfer,,5,1749431088.2227292,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{7: {'norm': 3.318251132965088, 'mean': 0.002473193686455488, 'std': 0.11286209523677826}}",,1,7,parameter_transfer,,6,1749431088.222743,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{8: {'norm': 3.3184170722961426, 'mean': 0.0024805497378110886, 'std': 0.1128675788640976}}",,1,8,parameter_transfer,,7,1749431088.2228057,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{9: {'norm': 3.3183274269104004, 'mean': 0.0024809970054775476, 'std': 0.11286453157663345}}",,1,9,parameter_transfer,,8,1749431088.2228208,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{10: {'norm': 3.3183934688568115, 'mean': 0.0024781322572380304, 'std': 0.1128668412566185}}",,1,10,parameter_transfer,,9,1749431088.222846,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{11: {'norm': 3.318359851837158, 'mean': 0.0024804335553199053, 'std': 0.1128656417131424}}",,1,11,parameter_transfer,,10,1749431088.2228599,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{12: {'norm': 3.3183884620666504, 'mean': 0.002482041483744979, 'std': 0.11286657303571701}}",,1,12,parameter_transfer,,11,1749431088.2228756,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{13: {'norm': 3.318326711654663, 'mean': 0.002479978371411562, 'std': 0.11286452412605286}}",,1,13,parameter_transfer,,12,1749431088.2228887,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{14: {'norm': 3.3184378147125244, 'mean': 0.0024817315861582756, 'std': 0.11286826431751251}}",,1,14,parameter_transfer,,13,1749431088.2229016,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{15: {'norm': 3.318317174911499, 'mean': 0.0024794619530439377, 'std': 0.11286421120166779}}",,1,15,parameter_transfer,,14,1749431088.2229135,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{16: {'norm': 3.318317413330078, 'mean': 0.00248080980964005, 'std': 0.112864188849926}}",,1,16,parameter_transfer,,15,1749431088.2229257,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{17: {'norm': 3.317988157272339, 'mean': 0.0024828603491187096, 'std': 0.11285293847322464}}",,1,17,parameter_transfer,,16,1749431088.222938,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{18: {'norm': 3.3187081813812256, 'mean': 0.002485759789124131, 'std': 0.11287738382816315}}",,1,18,parameter_transfer,,17,1749431088.2229507,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{19: {'norm': 3.3183093070983887, 'mean': 0.002484071534126997, 'std': 0.11286383867263794}}",,1,19,parameter_transfer,,18,1749431088.222963,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{20: {'norm': 3.318185806274414, 'mean': 0.0024825294967740774, 'std': 0.11285968124866486}}",,1,20,parameter_transfer,,19,1749431088.2229753,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{21: {'norm': 3.318002223968506, 'mean': 0.002484492491930723, 'std': 0.11285337805747986}}",,1,21,parameter_transfer,,20,1749431088.2229884,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{22: {'norm': 3.318115234375, 'mean': 0.002477626781910658, 'std': 0.112857386469841}}",,1,22,parameter_transfer,,21,1749431088.223002,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{23: {'norm': 3.318390369415283, 'mean': 0.002477907110005617, 'std': 0.11286673694849014}}",,1,23,parameter_transfer,,22,1749431088.223015,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{24: {'norm': 3.3182294368743896, 'mean': 0.0024643230717629194, 'std': 0.11286155879497528}}",,1,24,parameter_transfer,,23,1749431088.223028,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{25: {'norm': 3.3184139728546143, 'mean': 0.002486864337697625, 'std': 0.11286734789609909}}",,1,25,parameter_transfer,,24,1749431088.2230415,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{26: {'norm': 3.318063974380493, 'mean': 0.0024786931462585926, 'std': 0.11285560578107834}}",,1,26,parameter_transfer,,25,1749431088.2230546,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{27: {'norm': 3.318333625793457, 'mean': 0.0024836917873471975, 'std': 0.11286468058824539}}",,1,27,parameter_transfer,,26,1749431088.2230678,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{28: {'norm': 3.3180389404296875, 'mean': 0.0024725559633225203, 'std': 0.11285489797592163}}",,1,28,parameter_transfer,,27,1749431088.2230978,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{29: {'norm': 3.3182592391967773, 'mean': 0.002484113210812211, 'std': 0.11286213994026184}}",,1,29,parameter_transfer,,28,1749431088.2231128,,,,,,,
,,0,,,AggregationEvent,,,,,,,2,,,,,,,"0,1",1,,aggregation,GossipAvg,,1749431088.2231326,,,,,,,
,,1,,,AggregationEvent,,,,,,,2,,,,,,,"1,0",1,,aggregation,GossipAvg,,1749431088.2231476,,,,,,,
,,2,,,AggregationEvent,,,,,,,2,,,,,,,"2,1",1,,aggregation,GossipAvg,,1749431088.223157,,,,,,,
,,3,,,AggregationEvent,,,,,,,2,,,,,,,"3,2",1,,aggregation,GossipAvg,,1749431088.2231662,,,,,,,
