param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,1,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,2,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,3,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,4,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,5,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,6,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,7,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,8,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,0,9,1749438703.3764966,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,0,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,2,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,3,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,4,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,5,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,6,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,7,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,8,1749438703.3765647,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,1,9,1749438703.3765647,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,0,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,1,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,3,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,4,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,5,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,6,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,7,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,8,1749438703.3766022,parameter_transfer
"{'norm': 3.310421943664551, 'mean': -0.007071255706250668, 'std': 0.19494026899337769}",1,2,9,1749438703.3766022,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,0,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,1,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,2,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,4,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,5,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,6,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,7,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,8,1749438703.3766367,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,3,9,1749438703.3766367,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,0,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,1,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,2,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,3,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,5,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,6,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,7,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,8,1749438703.3766692,parameter_transfer
"{'norm': 3.3170464038848877, 'mean': -0.006200382951647043, 'std': 0.195360466837883}",1,4,9,1749438703.3766692,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,0,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,1,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,2,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,3,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,4,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,6,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,7,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,8,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,5,9,1749438703.3767016,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,0,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,1,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,2,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,3,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,4,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,5,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,7,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,8,1749438703.3767335,parameter_transfer
"{'norm': 3.311605930328369, 'mean': -0.006754755973815918, 'std': 0.19502130150794983}",1,6,9,1749438703.3767335,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,0,1749438703.3767703,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,1,1749438703.3767703,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,2,1749438703.3767703,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,3,1749438703.3767703,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,4,1749438703.3767703,parameter_transfer
"{'norm': 3.310391426086426, 'mean': -0.007057667709887028, 'std': 0.19493895769119263}",1,7,5,1749438703.3767703,parameter_transfer
