activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749439564.7148235,1
aggregation,,False,,,1,GossipAvg,1749439574.6527882,
aggregation,,False,,,1,GossipAvg,1749439574.6528082,
aggregation,,False,,,1,GossipAvg,1749439574.6528208,
aggregation,,False,,,1,GossipAvg,1749439574.6528325,
aggregation,,False,,,1,GossipAvg,1749439574.6528456,
aggregation,,False,,,1,GossipAvg,1749439574.652856,
aggregation,,False,,,1,GossipAvg,1749439574.652868,
aggregation,,True,,,1,GossipAvg,1749439574.6528802,
aggregation,,False,,,1,GossipAvg,1749439574.652892,
aggregation,,False,,,1,GossipAvg,1749439574.6529055,
model_update,,,,1.751124084134256,1,,1749439575.4349737,
local_training,,,{},,2,,1749439575.767093,1
aggregation,,False,,,2,GossipAvg,1749439585.3814347,
aggregation,,False,,,2,GossipAvg,1749439585.3814514,
aggregation,,False,,,2,GossipAvg,1749439585.3814628,
aggregation,,False,,,2,GossipAvg,1749439585.3814738,
aggregation,,False,,,2,GossipAvg,1749439585.3814864,
aggregation,,False,,,2,GossipAvg,1749439585.3815596,
aggregation,,False,,,2,GossipAvg,1749439585.3815706,
aggregation,,True,,,2,GossipAvg,1749439585.381581,
aggregation,,False,,,2,GossipAvg,1749439585.3816054,
aggregation,,False,,,2,GossipAvg,1749439585.381615,
model_update,,,,1.7157747501877227,2,,1749439586.143918,
local_training,,,{},,3,,1749439586.48242,1
aggregation,,False,,,3,GossipAvg,1749439596.0650656,
aggregation,,False,,,3,GossipAvg,1749439596.065083,
aggregation,,False,,,3,GossipAvg,1749439596.065095,
aggregation,,False,,,3,GossipAvg,1749439596.0651062,
aggregation,,False,,,3,GossipAvg,1749439596.0651164,
aggregation,,False,,,3,GossipAvg,1749439596.065128,
aggregation,,False,,,3,GossipAvg,1749439596.0651386,
aggregation,,True,,,3,GossipAvg,1749439596.0651495,
aggregation,,False,,,3,GossipAvg,1749439596.065161,
aggregation,,False,,,3,GossipAvg,1749439596.0651715,
model_update,,,,1.738863865760718,3,,1749439596.8426313,
