activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749439615.031295,1
aggregation,,True,,,1,GossipAvg,1749439624.6337872,
aggregation,,False,,,1,GossipAvg,1749439624.6338077,
aggregation,,False,,,1,GossipAvg,1749439624.63382,
aggregation,,False,,,1,GossipAvg,1749439624.633832,
aggregation,,False,,,1,GossipAvg,1749439624.6338432,
aggregation,,False,,,1,GossipAvg,1749439624.6338532,
aggregation,,False,,,1,GossipAvg,1749439624.6338644,
aggregation,,False,,,1,GossipAvg,1749439624.6338775,
aggregation,,False,,,1,GossipAvg,1749439624.6338902,
aggregation,,False,,,1,GossipAvg,1749439624.6339178,
model_update,,,,1.1536606244558638,1,,1749439625.3904464,
local_training,,,{},,2,,1749439625.7178843,1
aggregation,,True,,,2,GossipAvg,1749439635.9029205,
aggregation,,False,,,2,GossipAvg,1749439635.9029384,
aggregation,,False,,,2,GossipAvg,1749439635.9029624,
aggregation,,False,,,2,GossipAvg,1749439635.9029744,
aggregation,,False,,,2,GossipAvg,1749439635.9029872,
aggregation,,False,,,2,GossipAvg,1749439635.9030666,
aggregation,,False,,,2,GossipAvg,1749439635.903078,
aggregation,,False,,,2,GossipAvg,1749439635.903089,
aggregation,,False,,,2,GossipAvg,1749439635.9030993,
aggregation,,False,,,2,GossipAvg,1749439635.903109,
model_update,,,,1.1685440543015626,2,,1749439636.6756072,
local_training,,,{},,3,,1749439637.0090425,1
aggregation,,True,,,3,GossipAvg,1749439647.2917655,
aggregation,,False,,,3,GossipAvg,1749439647.2917836,
aggregation,,False,,,3,GossipAvg,1749439647.2917967,
aggregation,,False,,,3,GossipAvg,1749439647.2918077,
aggregation,,False,,,3,GossipAvg,1749439647.2918181,
aggregation,,False,,,3,GossipAvg,1749439647.291831,
aggregation,,False,,,3,GossipAvg,1749439647.291842,
aggregation,,False,,,3,GossipAvg,1749439647.291852,
aggregation,,False,,,3,GossipAvg,1749439647.2918634,
aggregation,,False,,,3,GossipAvg,1749439647.2918732,
model_update,,,,1.1245266502982367,3,,1749439648.0574281,
