node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,GDPR,8,128,tier1_hospital,0.995,standard,20000
1,clinic_001,5000,tier_2,64,HIPAA,4,128,tier2_hospital,0.904,critical,5000
2,research_center_002,5000,tier_3,64,GDPR,16,512,research_center,0.995,high,100000
3,mobile_unit_003,100,tier_1,8,PIPEDA,2,64,mobile_unit,0.808,critical,2000
4,edge_device_004,50,tier_2,8,PIPEDA,0,8,edge_device,0.767,critical,2000
5,hospital_005,2000,tier_1,128,local,16,128,tier1_hospital,0.984,standard,10000
6,clinic_006,1000,tier_2,64,PIPEDA,8,256,tier2_hospital,0.948,critical,5000
7,research_center_007,10000,tier_3,128,HIPAA,16,512,research_center,0.988,critical,50000
8,mobile_unit_008,100,tier_1,16,PIPEDA,1,16,mobile_unit,0.793,critical,2000
9,edge_device_009,500,tier_2,8,GDPR,0,32,edge_device,0.899,critical,1000
10,hospital_010,10000,tier_1,64,local,8,128,tier1_hospital,0.993,critical,10000
11,clinic_011,5000,tier_2,32,local,4,64,tier2_hospital,0.939,standard,20000
12,research_center_012,10000,tier_3,256,PIPEDA,16,1024,research_center,0.997,high,100000
13,mobile_unit_013,100,tier_1,4,GDPR,2,16,mobile_unit,0.848,standard,5000
14,edge_device_014,100,tier_2,2,PIPEDA,1,8,edge_device,0.76,high,500
