node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,43.973081,-92.428056,north_america,America/Chicago
1,Baltimore,USA,39.312176,-76.660631,europe,America/New_York
2,Palo Alto,USA,37.397171,-122.14715,asia_pacific,America/Los_Angeles
3,Boston,USA,42.376503,-71.089916,south_america,America/New_York
4,Los Angeles,USA,34.060975,-118.267441,africa,America/Los_Angeles
5,London,UK,51.487717,-0.10301,north_america,Europe/London
6,Paris,France,48.843825,2.343999,europe,Europe/Paris
7,Tokyo,Japan,35.629443,139.643878,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.349333,103.849195,south_america,Asia/Singapore
9,Sydney,Australia,-33.835163,151.162558,africa,Australia/Sydney
10,Rochester,USA,44.014242,-92.495406,north_america,America/Chicago
11,Baltimore,USA,39.280742,-76.595973,europe,America/New_York
12,Palo Alto,USA,37.488185,-122.096962,asia_pacific,America/Los_Angeles
13,Boston,USA,42.352881,-71.02758,south_america,America/New_York
14,Los Angeles,USA,34.094421,-118.202231,africa,America/Los_Angeles
