edge,weight
0-1,508.75
0-2,910.7
0-3,926.35
0-4,5557.59
0-5,88.43
0-6,532.63
0-7,1144.73
0-8,81.19
0-9,469.33
0-10,511.24
0-11,469.23
0-12,96.69
0-13,952.64
0-14,2377.63
1-2,1057.93
1-3,94.9
1-4,4092.31
1-5,2195.91
1-6,102.23
1-7,1765.66
1-8,1773.57
1-9,112.22
1-10,4116.53
1-11,1625.53
1-12,4570.8
1-13,1699.24
1-14,1807.37
2-3,587.3
2-4,838.67
2-5,113.74
2-6,5526.45
2-7,93.46
2-8,4856.92
2-9,110.92
2-10,80.61
2-11,506.9
2-12,2224.4
2-13,1677.84
2-14,5403.78
3-4,5692.19
3-5,1799.32
3-6,882.95
3-7,81.26
3-8,1063.97
3-9,1922.15
3-10,84.3
3-11,5807.06
3-12,512.67
3-13,81.98
3-14,96.33
4-5,5470.57
4-6,101.93
4-7,4807.15
4-8,1650.5
4-9,4945.18
4-10,496.19
4-11,4361.19
4-12,4551.44
4-13,5994.44
4-14,1102.73
5-6,944.15
5-7,107.63
5-8,2168.13
5-9,1667.24
5-10,1093.34
5-11,552.04
5-12,5770.57
5-13,2151.88
5-14,450.12
6-7,4025.79
6-8,4255.95
6-9,945.39
6-10,1082.98
6-11,2092.55
6-12,1899.06
6-13,5229.94
6-14,94.21
7-8,4907.48
7-9,92.67
7-10,4644.29
7-11,92.13
7-12,2246.65
7-13,589.3
7-14,972.85
8-9,116.42
8-10,513.98
8-11,932.63
8-12,1739.8
8-13,112.06
8-14,5568.88
9-10,117.41
9-11,920.62
9-12,5422.6
9-13,93.69
9-14,5574.13
10-11,1954.76
10-12,4719.72
10-13,2072.33
10-14,552.05
11-12,87.71
11-13,102.84
11-14,1655.56
12-13,1102.15
12-14,849.74
13-14,5047.83
