node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.979,high,10000
1,clinic_001,2000,tier_2,32,PIPEDA,8,64,tier2_hospital,0.937,high,20000
2,research_center_002,20000,tier_3,256,PIPEDA,16,512,research_center,0.99,standard,50000
3,mobile_unit_003,500,tier_1,16,PIPEDA,2,32,mobile_unit,0.771,critical,1000
4,edge_device_004,50,tier_2,4,local,0,32,edge_device,0.705,standard,500
5,hospital_005,5000,tier_1,128,local,8,128,tier1_hospital,0.982,critical,50000
6,clinic_006,2000,tier_2,64,GDPR,8,128,tier2_hospital,0.948,critical,5000
7,research_center_007,20000,tier_3,64,local,16,256,research_center,0.997,critical,100000
8,mobile_unit_008,500,tier_1,8,PIPEDA,2,32,mobile_unit,0.89,standard,2000
9,edge_device_009,50,tier_2,2,GDPR,0,8,edge_device,0.783,critical,1000
