node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,GDPR,4,512,tier1_hospital,0.973,critical,50000
1,clinic_001,1000,tier_2,64,HIPAA,2,64,tier2_hospital,0.956,high,5000
2,research_center_002,5000,tier_3,256,PIPEDA,32,1024,research_center,0.981,critical,50000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,16,mobile_unit,0.854,standard,5000
4,edge_device_004,100,tier_2,8,local,1,8,edge_device,0.742,critical,2000
5,hospital_005,5000,tier_1,32,GDPR,16,128,tier1_hospital,0.965,standard,10000
6,clinic_006,1000,tier_2,32,PIPEDA,2,256,tier2_hospital,0.916,high,10000
7,research_center_007,5000,tier_3,256,local,16,256,research_center,0.993,critical,20000
8,mobile_unit_008,1000,tier_1,16,GDPR,1,32,mobile_unit,0.873,standard,2000
9,edge_device_009,50,tier_2,2,PIPEDA,1,32,edge_device,0.723,critical,2000
10,hospital_010,5000,tier_1,32,local,4,512,tier1_hospital,0.988,high,10000
11,clinic_011,2000,tier_2,32,HIPAA,2,128,tier2_hospital,0.975,high,5000
12,research_center_012,20000,tier_3,64,GDPR,8,512,research_center,0.987,critical,100000
13,mobile_unit_013,500,tier_1,16,PIPEDA,1,16,mobile_unit,0.808,standard,2000
14,edge_device_014,500,tier_2,4,PIPEDA,0,32,edge_device,0.771,critical,500
