accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,5000.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749446262.7314386,complete,378,21,,45,2200,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749446262.7315824,complete,,,,,,
0.10833749375936096,,,,,EvaluationEvent,1.8857075597903041,"{'loss': 1.8857075597903041, 'accuracy': 0.10833749375936096}",,,,,,,,,,,,,0,,evaluation,,,1749446277.853411,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749446277.8535783,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.2428808212280273, 'mean': -0.005483018700033426, 'std': 0.11018870770931244}}",,1,0,parameter_transfer,,"1,2,3,4,5,6",1749446292.3862956,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.2433228492736816, 'mean': -0.005484504159539938, 'std': 0.11020369827747345}}",,1,1,parameter_transfer,,"0,2,3,4,5,6",1749446292.3863611,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{2: {'norm': 3.2428808212280273, 'mean': -0.005483018700033426, 'std': 0.11018870770931244}}",,1,2,parameter_transfer,,"0,1,3,4,5,6",1749446292.3863916,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{3: {'norm': 3.2428808212280273, 'mean': -0.005483018700033426, 'std': 0.11018870770931244}}",,1,3,parameter_transfer,,"0,1,2,4,5,6",1749446292.3864186,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{4: {'norm': 3.2428808212280273, 'mean': -0.005483018700033426, 'std': 0.11018870770931244}}",,1,4,parameter_transfer,,"0,1,2,3,5,6",1749446292.3864439,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{5: {'norm': 3.2428808212280273, 'mean': -0.005483018700033426, 'std': 0.11018870770931244}}",,1,5,parameter_transfer,,"0,1,2,3,4,6",1749446292.3864684,,,,,,,
