param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,1,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,2,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,3,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,4,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,5,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,0,,6,1749448115.951211,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,0,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,2,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,3,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,4,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,5,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,1,,6,1749448115.9512758,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,2,,0,1749448115.9513063,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,2,,1,1749448115.9513063,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,2,,3,1749448115.9513063,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,2,,4,1749448115.9513063,parameter_transfer
"{'norm': 3.280031204223633, 'mean': -0.0024155506398528814, 'std': 0.11156278103590012}",1,2,,5,1749448115.9513063,parameter_transfer
