edge,weight
0-1,991.66
0-2,1199.52
0-3,478.85
0-4,92.42
0-5,109.74
0-6,103.28
0-7,1162.21
0-8,5058.85
0-9,4665.24
1-2,1065.39
1-3,831.04
1-4,464.23
1-5,572.17
1-6,5719.74
1-7,5670.38
1-8,4615.02
1-9,5493.8
2-3,87.57
2-4,5386.55
2-5,1654.93
2-6,85.79
2-7,897.25
2-8,1948.57
2-9,428.61
3-4,450.1
3-5,80.28
3-6,507.26
3-7,2392.98
3-8,583.16
3-9,979.45
4-5,1763.7
4-6,5420.83
4-7,516.46
4-8,967.59
4-9,82.03
5-6,580.49
5-7,89.09
5-8,823.63
5-9,5263.61
6-7,5647.22
6-8,102.84
6-9,1149.67
7-8,1092.45
7-9,5771.98
8-9,98.39
