node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,GDPR,16,128,tier1_hospital,0.976,high,10000
1,clinic_001,2000,tier_2,32,local,8,256,tier2_hospital,0.961,high,10000
2,research_center_002,10000,tier_3,64,local,32,512,research_center,0.989,high,50000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,32,mobile_unit,0.864,standard,5000
4,edge_device_004,50,tier_2,2,local,1,32,edge_device,0.879,critical,500
5,hospital_005,10000,tier_1,64,local,16,128,tier1_hospital,0.966,standard,10000
6,clinic_006,1000,tier_2,64,GDPR,2,64,tier2_hospital,0.908,critical,10000
7,research_center_007,20000,tier_3,256,local,16,512,research_center,0.994,critical,20000
8,mobile_unit_008,500,tier_1,16,local,2,64,mobile_unit,0.877,standard,5000
9,edge_device_009,50,tier_2,8,GDPR,0,16,edge_device,0.841,standard,500
