accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,5365.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 2, 'mobile_unit': 2, 'edge_device': 2}",,10,,,,,5,,,,0,,network_structure,,,1749451211.493739,complete,532,45,,63,1888,
,,,,,InitialStateEvent,,,,,,10,,,,,,,,,0,,initial_state,,,1749451211.493922,complete,,,,,,
0.10883674488267599,,,,,EvaluationEvent,1.9584017925362438,"{'loss': 1.9584017925362438, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,0,,evaluation,,,1749451225.927066,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,LocalTrainingEvent,,{},,,10,,,,,,,,,,1,,local_training,,,1749451225.9272172,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{0: {'norm': 3.2500500679016113, 'mean': -0.001888060593046248, 'std': 0.1105528324842453}}",,1,0,parameter_transfer,,"1,2,3,4,5,6,7,8,9",1749451235.5352197,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{1: {'norm': 3.2539727687835693, 'mean': -0.002308567753061652, 'std': 0.11067833006381989}}",,1,1,parameter_transfer,,"0,2,3,4,5,6,7,8,9",1749451235.5352871,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{2: {'norm': 3.257758378982544, 'mean': -0.002093651331961155, 'std': 0.11081141233444214}}",,1,2,parameter_transfer,,"0,1,3,4,5,6,7,8,9",1749451235.5353253,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{3: {'norm': 3.25068736076355, 'mean': -0.0017336757155135274, 'std': 0.1105770394206047}}",,1,3,parameter_transfer,,"0,1,2,4,5,6,7,8,9",1749451235.5353584,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{4: {'norm': 3.2500500679016113, 'mean': -0.001888060593046248, 'std': 0.1105528324842453}}",,1,4,parameter_transfer,,"0,1,2,3,5,6,7,8,9",1749451235.5353904,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{5: {'norm': 3.2500500679016113, 'mean': -0.001888060593046248, 'std': 0.1105528324842453}}",,1,5,parameter_transfer,,"0,1,2,3,4,6,7,8,9",1749451235.5354226,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{6: {'norm': 3.2500500679016113, 'mean': -0.001888060593046248, 'std': 0.1105528324842453}}",,1,6,parameter_transfer,,"0,1,2,3,4,5,7,8,9",1749451235.535468,,,,,,,
