activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749454833.0520663,1
aggregation,,False,,,1,GossipAvg,1749454840.1571796,
aggregation,,False,,,1,GossipAvg,1749454840.1571968,
aggregation,,False,,,1,GossipAvg,1749454840.1572082,
aggregation,,False,,,1,GossipAvg,1749454840.157229,
aggregation,,True,,,1,GossipAvg,1749454840.1572385,
aggregation,,False,,,1,GossipAvg,1749454840.157247,
aggregation,,False,,,1,GossipAvg,1749454840.1572561,
model_update,,,,164.2368815009397,1,,1749454843.9057913,
local_training,,,{},,2,,1749454844.3897555,1
aggregation,,False,,,2,GossipAvg,1749454846.4087706,
aggregation,,False,,,2,GossipAvg,1749454846.4087856,
aggregation,,False,,,2,GossipAvg,1749454846.408795,
aggregation,,False,,,2,GossipAvg,1749454846.408805,
aggregation,,True,,,2,GossipAvg,1749454846.4088144,
aggregation,,False,,,2,GossipAvg,1749454846.4088914,
aggregation,,False,,,2,GossipAvg,1749454846.408901,
model_update,,,,75.16988604211805,2,,1749454850.1512518,
local_training,,,{},,3,,1749454850.6399124,1
aggregation,,False,,,3,GossipAvg,1749454865.0225954,
aggregation,,False,,,3,GossipAvg,1749454865.022609,
aggregation,,False,,,3,GossipAvg,1749454865.0226185,
aggregation,,False,,,3,GossipAvg,1749454865.0226278,
aggregation,,True,,,3,GossipAvg,1749454865.022712,
aggregation,,False,,,3,GossipAvg,1749454865.022722,
aggregation,,False,,,3,GossipAvg,1749454865.0227318,
model_update,,,,7330.388616134648,3,,1749454868.863449,
