activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749454906.48604,1
aggregation,,True,,,1,GossipAvg,1749454934.9240382,
aggregation,,False,,,1,GossipAvg,1749454934.9240556,
aggregation,,False,,,1,GossipAvg,1749454934.924067,
aggregation,,False,,,1,GossipAvg,1749454934.924076,
aggregation,,False,,,1,GossipAvg,1749454934.924086,
aggregation,,False,,,1,GossipAvg,1749454934.924095,
aggregation,,False,,,1,GossipAvg,1749454934.9241047,
model_update,,,,1.4428523315189064,1,,1749454939.0209048,
local_training,,,{},,2,,1749454939.5204628,1
aggregation,,True,,,2,GossipAvg,1749454955.7837813,
aggregation,,False,,,2,GossipAvg,1749454955.7837973,
aggregation,,False,,,2,GossipAvg,1749454955.7838068,
aggregation,,False,,,2,GossipAvg,1749454955.7838159,
aggregation,,False,,,2,GossipAvg,1749454955.7838259,
aggregation,,False,,,2,GossipAvg,1749454955.7838361,
aggregation,,False,,,2,GossipAvg,1749454955.7838457,
model_update,,,,0.6692660654474106,2,,1749454959.9116511,
local_training,,,{},,3,,1749454960.4174564,1
aggregation,,True,,,3,GossipAvg,1749454977.8322606,
aggregation,,False,,,3,GossipAvg,1749454977.832275,
aggregation,,False,,,3,GossipAvg,1749454977.832285,
aggregation,,False,,,3,GossipAvg,1749454977.8322933,
aggregation,,False,,,3,GossipAvg,1749454977.8323023,
aggregation,,False,,,3,GossipAvg,1749454977.8323104,
aggregation,,False,,,3,GossipAvg,1749454977.83232,
model_update,,,,0.6302537906519455,3,,1749454982.2714813,
