node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.070376,-92.453475,north_america,America/Chicago
1,Baltimore,USA,39.336863,-76.607669,europe,America/New_York
2,Palo Alto,USA,37.394801,-122.188222,asia_pacific,America/Los_Angeles
3,Boston,USA,42.369745,-71.01146,south_america,America/New_York
4,Los Angeles,USA,34.080156,-118.220343,africa,America/Los_Angeles
5,London,UK,51.49215,-0.128751,north_america,Europe/London
6,Paris,France,48.867442,2.395778,europe,Europe/Paris
7,Tokyo,Japan,35.679982,139.607321,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.395052,103.793675,south_america,Asia/Singapore
9,Sydney,Australia,-33.886731,151.2459,africa,Australia/Sydney
