timestamp,round_num,node_id,parameter_norm,parameter_summary
1749445392.5055194,1,0,3.194196939468384,"{'norm': 3.194196939468384, 'mean': 0.0009280724916607141, 'std': 0.10866482555866241}"
1749445392.5055194,1,1,3.194291353225708,"{'norm': 3.194291353225708, 'mean': 0.0009444766910746694, 'std': 0.10866789519786835}"
1749445392.5055194,1,2,3.1931891441345215,"{'norm': 3.1931891441345215, 'mean': 0.00095600716304034, 'std': 0.10863029211759567}"
1749445392.5055194,1,3,3.194196939468384,"{'norm': 3.194196939468384, 'mean': 0.0009280724916607141, 'std': 0.10866482555866241}"
1749445392.5055194,1,4,3.194196939468384,"{'norm': 3.194196939468384, 'mean': 0.0009280724916607141, 'std': 0.10866482555866241}"
1749445392.5055194,1,5,3.194196939468384,"{'norm': 3.194196939468384, 'mean': 0.0009280724916607141, 'std': 0.10866482555866241}"
1749445392.5055194,1,6,3.194196939468384,"{'norm': 3.194196939468384, 'mean': 0.0009280724916607141, 'std': 0.10866482555866241}"
1749445423.6878412,2,0,3.1940810680389404,"{'norm': 3.1940810680389404, 'mean': 0.0009325476712547243, 'std': 0.10866084694862366}"
1749445423.6878412,2,1,3.1940810680389404,"{'norm': 3.1940810680389404, 'mean': 0.0009325476712547243, 'std': 0.10866084694862366}"
1749445423.6878412,2,2,3.1940810680389404,"{'norm': 3.1940810680389404, 'mean': 0.0009325476712547243, 'std': 0.10866084694862366}"
1749445423.6878412,2,3,3.1940810680389404,"{'norm': 3.1940810680389404, 'mean': 0.0009325476712547243, 'std': 0.10866084694862366}"
1749445423.6878412,2,4,3.194629430770874,"{'norm': 3.194629430770874, 'mean': 0.0009383283322677016, 'std': 0.10867944359779358}"
1749445423.6878412,2,5,3.193544626235962,"{'norm': 3.193544626235962, 'mean': 0.0008666518260724843, 'std': 0.10864313691854477}"
1749445423.6878412,2,6,3.1940810680389404,"{'norm': 3.1940810680389404, 'mean': 0.0009325476712547243, 'std': 0.10866084694862366}"
1749445439.6073363,3,0,3.194223165512085,"{'norm': 3.194223165512085, 'mean': 0.0009048435022123158, 'std': 0.10866591334342957}"
1749445439.6073363,3,1,3.1937947273254395,"{'norm': 3.1937947273254395, 'mean': 0.0008972110808826983, 'std': 0.10865139961242676}"
1749445439.6073363,3,2,3.1937947273254395,"{'norm': 3.1937947273254395, 'mean': 0.0008972110808826983, 'std': 0.10865139961242676}"
1749445439.6073363,3,3,3.1937947273254395,"{'norm': 3.1937947273254395, 'mean': 0.0008972110808826983, 'std': 0.10865139961242676}"
1749445439.6073363,3,4,3.1939902305603027,"{'norm': 3.1939902305603027, 'mean': 0.0009106926154345274, 'std': 0.10865794122219086}"
1749445439.6073363,3,5,3.1937947273254395,"{'norm': 3.1937947273254395, 'mean': 0.0008972110808826983, 'std': 0.10865139961242676}"
1749445439.6073363,3,6,3.1937947273254395,"{'norm': 3.1937947273254395, 'mean': 0.0008972110808826983, 'std': 0.10865139961242676}"
