node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,FedRAMP,radiology,1986,mixed,mayo_clinic,tier1_hospital,1053
1,international,HIPAA_compliant,oncology,1977,mixed,johns_hopkins,tier2_hospital,4763
2,national,HIPAA_compliant,cardiology,1958,public,stanford_med,research_center,3112
3,national,ISO27001,neurology,2004,private,mass_general,mobile_unit,1702
4,regional,FedRAMP,pathology,1975,public,ucla_health,edge_device,237
5,international,SOC2,radiology,1994,private,mayo_clinic,tier1_hospital,3281
6,regional,FedRAMP,oncology,1966,private,johns_hopkins,tier2_hospital,2554
7,international,HIPAA_compliant,cardiology,1961,private,stanford_med,research_center,3112
8,regional,FedRAMP,neurology,2005,private,mass_general,mobile_unit,2184
9,national,ISO27001,pathology,1957,private,ucla_health,edge_device,2758
