accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3610.0,,NetworkStructureEvent,,,0.2,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,5,,,,0,,network_structure,,,1749350390.7004719,line,424,2,,50,1408,
,,,,,InitialStateEvent,,,,,,5,,,,,,,,,0,,initial_state,,,1749350390.7006226,line,,,,,,
0.1025,,,,,EvaluationEvent,2.424690205001831,"{'loss': 2.424690205001831, 'accuracy': 0.1025}",,,,,,,,,,,,,0,,evaluation,,,1749350392.5439286,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,1,,local_training,,,1749350392.544061,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 4.630650997161865, 'mean': 0.05301716923713684, 'std': 0.2676635980606079}}",,1,0,parameter_transfer,,1,1749350399.9385817,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 4.8217620849609375, 'mean': 0.044757649302482605, 'std': 0.2805776298046112}}",,1,1,parameter_transfer,,0,1749350399.9386318,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 4.534512996673584, 'mean': 0.0294652059674263, 'std': 0.26556915044784546}}",,1,2,parameter_transfer,,1,1749350399.938657,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 4.576389312744141, 'mean': 0.025740163400769234, 'std': 0.2684350609779358}}",,1,3,parameter_transfer,,2,1749350399.9386725,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 4.441522598266602, 'mean': 0.02246909961104393, 'std': 0.26075294613838196}}",,1,4,parameter_transfer,,3,1749350399.9386861,,,,,,,
,,0,,,AggregationEvent,,,,,,,2,,,,,,,"0,1",1,,aggregation,GossipAvg,,1749350399.9387083,,,,,,,
,,1,,,AggregationEvent,,,,,,,2,,,,,,,"1,0",1,,aggregation,GossipAvg,,1749350399.938722,,,,,,,
,,2,,,AggregationEvent,,,,,,,2,,,,,,,"2,1",1,,aggregation,GossipAvg,,1749350399.9387293,,,,,,,
,,3,,,AggregationEvent,,,,,,,2,,,,,,,"3,2",1,,aggregation,GossipAvg,,1749350399.938736,,,,,,,
,,4,,,AggregationEvent,,,,,,,2,,,,,,,"4,3",1,,aggregation,GossipAvg,,1749350399.9387414,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,52.81523827866448,,,1,,model_update,,,1749350400.0568266,,,,,,,"0,1,2,3,4"
0.6977,,,,,EvaluationEvent,0.9014809029579163,"{'loss': 0.9014809029579163, 'accuracy': 0.6977}",,,,,,,,,,,,,1,,evaluation,,,1749350400.3901825,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,2,,local_training,,,1749350400.3902912,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 5.009051322937012, 'mean': 0.02145346812903881, 'std': 0.2943804860115051}}",,2,0,parameter_transfer,,1,1749350402.406486,,,,,,,
