accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4400.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,5,,,,0,,network_structure,,,1749350547.0453997,complete,278,10,,31,928,
,,,,,InitialStateEvent,,,,,,5,,,,,,,,,0,,initial_state,,,1749350547.0455482,complete,,,,,,
0.0961,,,,,EvaluationEvent,2.4790931297302246,"{'loss': 2.4790931297302246, 'accuracy': 0.0961}",,,,,,,,,,,,,0,,evaluation,,,1749350549.6531217,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,1,,local_training,,,1749350549.6532516,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.2636094093322754, 'mean': 0.007982185110449791, 'std': 0.19214428961277008}}",,1,0,parameter_transfer,,"1,2,3,4",1749350564.3970373,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.282865524291992, 'mean': 0.006818134803324938, 'std': 0.1933245211839676}}",,1,1,parameter_transfer,,"0,2,3,4",1749350564.3970952,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.275623083114624, 'mean': 0.006728475913405418, 'std': 0.1929006278514862}}",,1,2,parameter_transfer,,"0,1,3,4",1749350564.3971267,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.27205228805542, 'mean': 0.007536962628364563, 'std': 0.1926601678133011}}",,1,3,parameter_transfer,,"0,1,2,4",1749350564.3971581,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2668848037719727, 'mean': 0.008020560257136822, 'std': 0.19233587384223938}}",,1,4,parameter_transfer,,"0,1,2,3",1749350564.3971848,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",1,,aggregation,GossipAvg,,1749350564.3972156,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",1,,aggregation,GossipAvg,,1749350564.3972318,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",1,,aggregation,GossipAvg,,1749350564.397243,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",1,,aggregation,GossipAvg,,1749350564.3972533,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",1,,aggregation,GossipAvg,,1749350564.3972635,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.304177571248627,,,1,,model_update,,,1749350564.6365995,,,,,,,"0,1,2,3,4"
0.6608,,,,,EvaluationEvent,1.0478157608032226,"{'loss': 1.0478157608032226, 'accuracy': 0.6608}",,,,,,,,,,,,,1,,evaluation,,,1749350564.97457,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,2,,local_training,,,1749350564.9746795,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.2589306831359863, 'mean': 0.007669799029827118, 'std': 0.19188110530376434}}",,2,0,parameter_transfer,,"1,2,3,4",1749350568.999661,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.2679104804992676, 'mean': 0.008039748296141624, 'std': 0.19239556789398193}}",,2,1,parameter_transfer,,"0,2,3,4",1749350568.99972,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.2767343521118164, 'mean': 0.007576698437333107, 'std': 0.19293470680713654}}",,2,2,parameter_transfer,,"0,1,3,4",1749350568.9997447,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.2592074871063232, 'mean': 0.007983463816344738, 'std': 0.19188463687896729}}",,2,3,parameter_transfer,,"0,1,2,4",1749350568.9997675,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2726526260375977, 'mean': 0.007353894412517548, 'std': 0.19270263612270355}}",,2,4,parameter_transfer,,"0,1,2,3",1749350568.9997914,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",2,,aggregation,GossipAvg,,1749350568.999816,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",2,,aggregation,GossipAvg,,1749350568.9998302,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",2,,aggregation,GossipAvg,,1749350568.9998403,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",2,,aggregation,GossipAvg,,1749350568.9998493,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",2,,aggregation,GossipAvg,,1749350568.9998577,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.338420323972727,,,2,,model_update,,,1749350569.2184267,,,,,,,"0,1,2,3,4"
0.7315,,,,,EvaluationEvent,0.7494263652801514,"{'loss': 0.7494263652801514, 'accuracy': 0.7315}",,,,,,,,,,,,,2,,evaluation,,,1749350569.542264,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,3,,local_training,,,1749350569.542364,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.2806265354156494, 'mean': 0.007951335050165653, 'std': 0.1931491643190384}}",,3,0,parameter_transfer,,"1,2,3,4",1749350573.3456023,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.2761666774749756, 'mean': 0.008174441754817963, 'std': 0.19287684559822083}}",,3,1,parameter_transfer,,"0,2,3,4",1749350573.3456666,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.262687921524048, 'mean': 0.008590281940996647, 'std': 0.19206371903419495}}",,3,2,parameter_transfer,,"0,1,3,4",1749350573.345691,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.267137289047241, 'mean': 0.008425746113061905, 'std': 0.19233344495296478}}",,3,3,parameter_transfer,,"0,1,2,4",1749350573.3457124,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2753331661224365, 'mean': 0.008187130093574524, 'std': 0.19282713532447815}}",,3,4,parameter_transfer,,"0,1,2,3",1749350573.3457406,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",3,,aggregation,GossipAvg,,1749350573.3457808,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",3,,aggregation,GossipAvg,,1749350573.3457954,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",3,,aggregation,GossipAvg,,1749350573.3458064,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",3,,aggregation,GossipAvg,,1749350573.3458173,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",3,,aggregation,GossipAvg,,1749350573.3458261,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.323264212542086,,,3,,model_update,,,1749350573.5645623,,,,,,,"0,1,2,3,4"
0.7771,,,,,EvaluationEvent,0.5995438818454742,"{'loss': 0.5995438818454742, 'accuracy': 0.7771}",,,,,,,,,,,,,3,,evaluation,,,1749350573.887674,,,,,,,
