timestamp,round_num,node_id,parameter_norm,parameter_summary
1749377544.953145,1,0,3.2328484058380127,"{'norm': 3.2328484058380127, 'mean': 0.0033111153170466423, 'std': 0.10993387550115585}"
1749377544.953145,1,1,3.2323157787323,"{'norm': 3.2323157787323, 'mean': 0.003310120664536953, 'std': 0.10991578549146652}"
1749377544.953145,1,2,3.2334086894989014,"{'norm': 3.2334086894989014, 'mean': 0.003326749661937356, 'std': 0.10995247215032578}"
1749377544.953145,1,3,3.233565330505371,"{'norm': 3.233565330505371, 'mean': 0.0033221631310880184, 'std': 0.10995794832706451}"
1749377544.953145,1,4,3.2339541912078857,"{'norm': 3.2339541912078857, 'mean': 0.003328828839585185, 'std': 0.10997097939252853}"
1749377590.8866014,2,0,3.23181414604187,"{'norm': 3.23181414604187, 'mean': 0.0033058393746614456, 'std': 0.10989883542060852}"
1749377590.8866014,2,1,3.2334578037261963,"{'norm': 3.2334578037261963, 'mean': 0.0032657163683325052, 'std': 0.10995597392320633}"
1749377590.8866014,2,2,3.2318506240844727,"{'norm': 3.2318506240844727, 'mean': 0.0033259291667491198, 'std': 0.10989948362112045}"
1749377590.8866014,2,3,3.2322847843170166,"{'norm': 3.2322847843170166, 'mean': 0.00329508725553751, 'std': 0.10991516709327698}"
1749377590.8866014,2,4,3.232459545135498,"{'norm': 3.232459545135498, 'mean': 0.003300632582977414, 'std': 0.10992096364498138}"
1749377636.7453194,3,0,3.2321970462799072,"{'norm': 3.2321970462799072, 'mean': 0.0032258345745503902, 'std': 0.10991425812244415}"
1749377636.7453194,3,1,3.235525131225586,"{'norm': 3.235525131225586, 'mean': 0.003241569735109806, 'std': 0.11002706736326218}"
1749377636.7453194,3,2,3.232783317565918,"{'norm': 3.232783317565918, 'mean': 0.0032981769181787968, 'std': 0.1099320501089096}"
1749377636.7453194,3,3,3.2331652641296387,"{'norm': 3.2331652641296387, 'mean': 0.003253665752708912, 'std': 0.10994637757539749}"
1749377636.7453194,3,4,3.233715057373047,"{'norm': 3.233715057373047, 'mean': 0.0032700588926672935, 'std': 0.10996460914611816}"
