param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,1,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,2,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,3,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,4,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,5,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,6,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,7,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,8,1749351243.8034925,parameter_transfer
"{'norm': 3.371018171310425, 'mean': -0.005267570726573467, 'std': 0.19856929779052734}",1,0,9,1749351243.8034925,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,0,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,2,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,3,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,4,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,5,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,6,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,7,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,8,1749351243.8035626,parameter_transfer
"{'norm': 3.3723526000976562, 'mean': -0.005181730724871159, 'std': 0.19865019619464874}",1,1,9,1749351243.8035626,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,0,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,1,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,3,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,4,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,5,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,6,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,7,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,8,1749351243.803599,parameter_transfer
"{'norm': 3.3754446506500244, 'mean': -0.005554272327572107, 'std': 0.19882240891456604}",1,2,9,1749351243.803599,parameter_transfer
"{'norm': 3.370732069015503, 'mean': -0.005513470154255629, 'std': 0.19854573905467987}",1,3,0,1749351243.8036342,parameter_transfer
"{'norm': 3.370732069015503, 'mean': -0.005513470154255629, 'std': 0.19854573905467987}",1,3,1,1749351243.8036342,parameter_transfer
"{'norm': 3.370732069015503, 'mean': -0.005513470154255629, 'std': 0.19854573905467987}",1,3,2,1749351243.8036342,parameter_transfer
"{'norm': 3.370732069015503, 'mean': -0.005513470154255629, 'std': 0.19854573905467987}",1,3,4,1749351243.8036342,parameter_transfer
"{'norm': 3.370732069015503, 'mean': -0.005513470154255629, 'std': 0.19854573905467987}",1,3,5,1749351243.8036342,parameter_transfer
