node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,HIPAA,8,256,tier1_hospital,0.977,critical,20000
1,clinic_001,2000,tier_2,32,HIPAA,8,64,tier2_hospital,0.972,high,20000
2,research_center_002,20000,tier_3,64,local,32,512,research_center,0.98,standard,20000
3,mobile_unit_003,1000,tier_1,4,PIPEDA,2,32,mobile_unit,0.82,high,2000
4,edge_device_004,500,tier_2,8,HIPAA,1,32,edge_device,0.767,high,1000
5,hospital_005,10000,tier_1,128,HIPAA,8,128,tier1_hospital,0.956,critical,10000
6,clinic_006,5000,tier_2,32,HIPAA,4,256,tier2_hospital,0.96,standard,5000
7,research_center_007,20000,tier_3,64,GDPR,8,512,research_center,0.987,standard,100000
8,mobile_unit_008,500,tier_1,8,HIPAA,2,16,mobile_unit,0.88,standard,5000
9,edge_device_009,50,tier_2,8,local,0,16,edge_device,0.706,high,500
