edge,weight
0-1,2301.63
0-2,1187.11
0-3,1042.2
0-4,1865.79
0-5,889.51
0-6,5142.33
0-7,1779.68
0-8,1038.21
0-9,1901.55
1-2,462.89
1-3,2114.56
1-4,1697.16
1-5,465.16
1-6,107.65
1-7,935.59
1-8,81.73
1-9,1096.95
2-3,404.47
2-4,913.08
2-5,456.64
2-6,1801.83
2-7,486.22
2-8,5432.36
2-9,109.66
3-4,2261.03
3-5,5771.38
3-6,822.79
3-7,527.55
3-8,87.01
3-9,1166.25
4-5,1174.08
4-6,82.68
4-7,4253.56
4-8,4102.01
4-9,943.68
5-6,2263.27
5-7,804.09
5-8,1029.2
5-9,1731.56
6-7,89.39
6-8,89.67
6-9,543.66
7-8,1864.81
7-9,4217.84
8-9,103.05
