activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749351690.3870907,1
aggregation,,True,,,1,GossipAvg,1749351702.39272,
aggregation,,False,,,1,GossipAvg,1749351702.392725,
model_update,,,,4.126712730359225,1,,1749351702.6059039,
local_training,,,{},,2,,1749351702.933991,1
aggregation,,True,,,2,GossipAvg,1749351704.972924,
aggregation,,False,,,2,GossipAvg,1749351704.9729292,
model_update,,,,4.235853367973678,2,,1749351705.1662602,
local_training,,,{},,3,,1749351705.4901621,1
aggregation,,True,,,3,GossipAvg,1749351707.5234942,
aggregation,,False,,,3,GossipAvg,1749351707.5235012,
model_update,,,,4.230196492502633,3,,1749351707.7197423,
