param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,1,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,2,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,3,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,4,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,5,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,6,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,7,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,8,1749351946.9521585,parameter_transfer
"{'norm': 3.3976852893829346, 'mean': -0.011877565644681454, 'std': 0.1998578906059265}",1,0,9,1749351946.9521585,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,0,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,2,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,3,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,4,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,5,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,6,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,7,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,8,1749351946.9522283,parameter_transfer
"{'norm': 3.379887819290161, 'mean': -0.011665559373795986, 'std': 0.1988198608160019}",1,1,9,1749351946.9522283,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,0,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,1,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,3,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,4,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,5,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,6,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,7,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,8,1749351946.952265,parameter_transfer
"{'norm': 3.4134578704833984, 'mean': -0.010807614773511887, 'std': 0.20084936916828156}",1,2,9,1749351946.952265,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,0,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,1,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,2,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,4,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,5,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,6,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,7,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,8,1749351946.9523,parameter_transfer
"{'norm': 3.3902387619018555, 'mean': -0.011927803978323936, 'std': 0.19941532611846924}",1,3,9,1749351946.9523,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,0,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,1,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,2,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,3,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,5,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,6,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,7,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,8,1749351946.9523377,parameter_transfer
"{'norm': 3.3997879028320312, 'mean': -0.012300761416554451, 'std': 0.19995643198490143}",1,4,9,1749351946.9523377,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,0,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,1,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,2,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,3,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,4,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,6,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,7,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,8,1749351946.9523695,parameter_transfer
"{'norm': 3.394801139831543, 'mean': -0.012427959591150284, 'std': 0.19965414702892303}",1,5,9,1749351946.9523695,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,0,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,1,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,2,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,3,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,4,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,5,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,7,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,8,1749351946.9524012,parameter_transfer
"{'norm': 3.4115304946899414, 'mean': -0.011967542581260204, 'std': 0.20066982507705688}",1,6,9,1749351946.9524012,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,0,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,1,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,2,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,3,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,4,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,5,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,6,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,8,1749351946.9524326,parameter_transfer
"{'norm': 3.386854410171509, 'mean': -0.011600760743021965, 'std': 0.19923487305641174}",1,7,9,1749351946.9524326,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,0,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,1,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,2,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,3,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,4,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,5,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,6,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,7,1749351946.9524632,parameter_transfer
"{'norm': 3.39033842086792, 'mean': -0.012190542183816433, 'std': 0.19940531253814697}",1,8,9,1749351946.9524632,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,0,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,1,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,2,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,3,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,4,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,5,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,6,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,7,1749351946.9524946,parameter_transfer
"{'norm': 3.3932955265045166, 'mean': -0.01250670850276947, 'std': 0.19956031441688538}",1,9,8,1749351946.9524946,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,1,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,2,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,3,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,4,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,5,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,6,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,7,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,8,1749351949.1151733,parameter_transfer
"{'norm': 3.3771979808807373, 'mean': -0.01058349572122097, 'std': 0.19872166216373444}",2,0,9,1749351949.1151733,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,0,1749351949.1152375,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,2,1749351949.1152375,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,3,1749351949.1152375,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,4,1749351949.1152375,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,5,1749351949.1152375,parameter_transfer
"{'norm': 3.38580060005188, 'mean': -0.01097668893635273, 'std': 0.19920803606510162}",2,1,6,1749351949.1152375,parameter_transfer
