param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.2766916751861572, 'mean': -0.015495698899030685, 'std': 0.1924581080675125}",1,0,,9,1749394557.4663563,parameter_transfer
"{'norm': 3.2766916751861572, 'mean': -0.015495698899030685, 'std': 0.1924581080675125}",1,0,,1,1749394557.4663563,parameter_transfer
"{'norm': 3.274724006652832, 'mean': -0.014800508506596088, 'std': 0.19239653646945953}",1,1,,0,1749394557.4664068,parameter_transfer
"{'norm': 3.274724006652832, 'mean': -0.014800508506596088, 'std': 0.19239653646945953}",1,1,,2,1749394557.4664068,parameter_transfer
"{'norm': 3.2713005542755127, 'mean': -0.015138589777052402, 'std': 0.19216784834861755}",1,2,,1,1749394557.466429,parameter_transfer
"{'norm': 3.2713005542755127, 'mean': -0.015138589777052402, 'std': 0.19216784834861755}",1,2,,3,1749394557.466429,parameter_transfer
"{'norm': 3.285970687866211, 'mean': -0.014038652181625366, 'std': 0.19311808049678802}",1,3,,2,1749394557.4664474,parameter_transfer
"{'norm': 3.285970687866211, 'mean': -0.014038652181625366, 'std': 0.19311808049678802}",1,3,,4,1749394557.4664474,parameter_transfer
"{'norm': 3.2646541595458984, 'mean': -0.01349593698978424, 'std': 0.19189760088920593}",1,4,,3,1749394557.4664648,parameter_transfer
"{'norm': 3.2646541595458984, 'mean': -0.01349593698978424, 'std': 0.19189760088920593}",1,4,,5,1749394557.4664648,parameter_transfer
"{'norm': 3.277207851409912, 'mean': -0.014213583432137966, 'std': 0.19258753955364227}",1,5,,4,1749394557.4664807,parameter_transfer
"{'norm': 3.277207851409912, 'mean': -0.014213583432137966, 'std': 0.19258753955364227}",1,5,,6,1749394557.4664807,parameter_transfer
"{'norm': 3.270240068435669, 'mean': -0.014064805582165718, 'std': 0.19218678772449493}",1,6,,5,1749394557.4664972,parameter_transfer
"{'norm': 3.270240068435669, 'mean': -0.014064805582165718, 'std': 0.19218678772449493}",1,6,,7,1749394557.4664972,parameter_transfer
"{'norm': 3.2506368160247803, 'mean': -0.01575312204658985, 'std': 0.19089673459529877}",1,7,,6,1749394557.466514,parameter_transfer
"{'norm': 3.2506368160247803, 'mean': -0.01575312204658985, 'std': 0.19089673459529877}",1,7,,8,1749394557.466514,parameter_transfer
"{'norm': 3.255065441131592, 'mean': -0.014877647161483765, 'std': 0.1912286877632141}",1,8,,7,1749394557.46653,parameter_transfer
"{'norm': 3.255065441131592, 'mean': -0.014877647161483765, 'std': 0.1912286877632141}",1,8,,9,1749394557.46653,parameter_transfer
"{'norm': 3.284552574157715, 'mean': -0.015203307382762432, 'std': 0.19294607639312744}",1,9,,8,1749394557.4665468,parameter_transfer
"{'norm': 3.284552574157715, 'mean': -0.015203307382762432, 'std': 0.19294607639312744}",1,9,,0,1749394557.4665468,parameter_transfer
