node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,GDPR,4,128,tier1_hospital,0.985,high,10000
1,clinic_001,1000,tier_2,32,local,2,64,tier2_hospital,0.971,standard,5000
2,research_center_002,20000,tier_3,64,GDPR,16,512,research_center,0.997,critical,50000
3,mobile_unit_003,1000,tier_1,4,GDPR,1,16,mobile_unit,0.759,critical,1000
4,edge_device_004,50,tier_2,8,HIPAA,0,16,edge_device,0.881,high,1000
5,hospital_005,10000,tier_1,64,GDPR,16,128,tier1_hospital,0.987,critical,10000
6,clinic_006,2000,tier_2,16,HIPAA,2,128,tier2_hospital,0.96,standard,10000
7,research_center_007,5000,tier_3,64,GDPR,16,1024,research_center,0.985,critical,20000
8,mobile_unit_008,100,tier_1,4,GDPR,2,64,mobile_unit,0.788,standard,5000
9,edge_device_009,500,tier_2,2,PIPEDA,1,16,edge_device,0.754,high,1000
