param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.2374587059020996, 'mean': 0.005592858884483576, 'std': 0.19068707525730133}",1,1,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.232712745666504, 'mean': 0.005392984952777624, 'std': 0.19041307270526886}",1,2,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2445948123931885, 'mean': 0.005658733192831278, 'std': 0.19110582768917084}",1,3,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.240654230117798, 'mean': 0.005882548168301582, 'std': 0.19086676836013794}",1,4,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2400829792022705, 'mean': 0.005409481469541788, 'std': 0.19084706902503967}",1,5,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.239257574081421, 'mean': 0.005444474518299103, 'std': 0.19079741835594177}",1,6,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2446186542510986, 'mean': 0.005521104671061039, 'std': 0.1911112368106842}",1,7,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2410378456115723, 'mean': 0.00495649129152298, 'std': 0.19091565907001495}",1,8,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.239602565765381, 'mean': 0.005049126222729683, 'std': 0.1908286213874817}",1,9,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.234375238418579, 'mean': 0.005478730425238609, 'std': 0.190508633852005}",1,10,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2344815731048584, 'mean': 0.004807504825294018, 'std': 0.19053301215171814}",1,11,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.243695020675659, 'mean': 0.004863067530095577, 'std': 0.1910746842622757}",1,12,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2360448837280273, 'mean': 0.004833673592656851, 'std': 0.19062450528144836}",1,13,,0,1749394802.8218567,parameter_transfer
"{'norm': 3.2418930530548096, 'mean': 0.004969362635165453, 'std': 0.19096574187278748}",1,14,,0,1749394802.8218567,parameter_transfer
,1,1,FedAvg,0,1749394802.8220174,aggregation
,1,2,FedAvg,0,1749394802.8220174,aggregation
,1,3,FedAvg,0,1749394802.8220174,aggregation
,1,4,FedAvg,0,1749394802.8220174,aggregation
,1,5,FedAvg,0,1749394802.8220174,aggregation
,1,6,FedAvg,0,1749394802.8220174,aggregation
,1,7,FedAvg,0,1749394802.8220174,aggregation
,1,8,FedAvg,0,1749394802.8220174,aggregation
,1,9,FedAvg,0,1749394802.8220174,aggregation
,1,10,FedAvg,0,1749394802.8220174,aggregation
,1,11,FedAvg,0,1749394802.8220174,aggregation
,1,12,FedAvg,0,1749394802.8220174,aggregation
,1,13,FedAvg,0,1749394802.8220174,aggregation
,1,14,FedAvg,0,1749394802.8220174,aggregation
"{'norm': 3.2455286979675293, 'mean': 0.005606700666248798, 'std': 0.19116239249706268}",2,1,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2381162643432617, 'mean': 0.00537090515717864, 'std': 0.1907322257757187}",2,2,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2396247386932373, 'mean': 0.006455926224589348, 'std': 0.19078752398490906}",2,3,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2469375133514404, 'mean': 0.006129276938736439, 'std': 0.1912294179201126}",2,4,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2400057315826416, 'mean': 0.005837116856127977, 'std': 0.19082993268966675}",2,5,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2499399185180664, 'mean': 0.005603711120784283, 'std': 0.19142253696918488}",2,6,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2396867275238037, 'mean': 0.005498636979609728, 'std': 0.19082117080688477}",2,7,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2440521717071533, 'mean': 0.005616365000605583, 'std': 0.19107507169246674}",2,8,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2321581840515137, 'mean': 0.005262444261461496, 'std': 0.19038403034210205}",2,9,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.235151767730713, 'mean': 0.005453541874885559, 'std': 0.1905551254749298}",2,10,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2389535903930664, 'mean': 0.00542798824608326, 'std': 0.19077996909618378}",2,11,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.250033378601074, 'mean': 0.005777270533144474, 'std': 0.19142289459705353}",2,12,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.2368102073669434, 'mean': 0.0053245071321725845, 'std': 0.19065654277801514}",2,13,,0,1749394805.2311034,parameter_transfer
"{'norm': 3.235156536102295, 'mean': 0.005298673175275326, 'std': 0.19055978953838348}",2,14,,0,1749394805.2311034,parameter_transfer
,2,1,FedAvg,0,1749394805.2312672,aggregation
,2,2,FedAvg,0,1749394805.2312672,aggregation
,2,3,FedAvg,0,1749394805.2312672,aggregation
,2,4,FedAvg,0,1749394805.2312672,aggregation
,2,5,FedAvg,0,1749394805.2312672,aggregation
,2,6,FedAvg,0,1749394805.2312672,aggregation
,2,7,FedAvg,0,1749394805.2312672,aggregation
,2,8,FedAvg,0,1749394805.2312672,aggregation
,2,9,FedAvg,0,1749394805.2312672,aggregation
,2,10,FedAvg,0,1749394805.2312672,aggregation
,2,11,FedAvg,0,1749394805.2312672,aggregation
,2,12,FedAvg,0,1749394805.2312672,aggregation
,2,13,FedAvg,0,1749394805.2312672,aggregation
,2,14,FedAvg,0,1749394805.2312672,aggregation
"{'norm': 3.241567850112915, 'mean': 0.005999440792948008, 'std': 0.1909169703722}",3,1,,0,1749394807.608945,parameter_transfer
"{'norm': 3.246783494949341, 'mean': 0.0059896912425756454, 'std': 0.19122476875782013}",3,2,,0,1749394807.608945,parameter_transfer
"{'norm': 3.252286195755005, 'mean': 0.006443056743592024, 'std': 0.19153445959091187}",3,3,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2463343143463135, 'mean': 0.005936796311289072, 'std': 0.19119992852210999}",3,4,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2441234588623047, 'mean': 0.00605119951069355, 'std': 0.19106602668762207}",3,5,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2506825923919678, 'mean': 0.005665471311658621, 'std': 0.19146451354026794}",3,6,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2470929622650146, 'mean': 0.005711232777684927, 'std': 0.19125153124332428}",3,7,,0,1749394807.608945,parameter_transfer
"{'norm': 3.239543914794922, 'mean': 0.005596600938588381, 'std': 0.19080989062786102}",3,8,,0,1749394807.608945,parameter_transfer
"{'norm': 3.246046543121338, 'mean': 0.005465307738631964, 'std': 0.191197007894516}",3,9,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2341582775115967, 'mean': 0.00588220776990056, 'std': 0.19048379361629486}",3,10,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2389962673187256, 'mean': 0.005942817311733961, 'std': 0.19076715409755707}",3,11,,0,1749394807.608945,parameter_transfer
"{'norm': 3.2470619678497314, 'mean': 0.005626850761473179, 'std': 0.191252201795578}",3,12,,0,1749394807.608945,parameter_transfer
"{'norm': 3.239901304244995, 'mean': 0.005594421643763781, 'std': 0.1908310353755951}",3,13,,0,1749394807.608945,parameter_transfer
"{'norm': 3.244006633758545, 'mean': 0.006045880261808634, 'std': 0.19105929136276245}",3,14,,0,1749394807.608945,parameter_transfer
,3,1,FedAvg,0,1749394807.6091008,aggregation
,3,2,FedAvg,0,1749394807.6091008,aggregation
,3,3,FedAvg,0,1749394807.6091008,aggregation
,3,4,FedAvg,0,1749394807.6091008,aggregation
,3,5,FedAvg,0,1749394807.6091008,aggregation
,3,6,FedAvg,0,1749394807.6091008,aggregation
,3,7,FedAvg,0,1749394807.6091008,aggregation
,3,8,FedAvg,0,1749394807.6091008,aggregation
,3,9,FedAvg,0,1749394807.6091008,aggregation
,3,10,FedAvg,0,1749394807.6091008,aggregation
,3,11,FedAvg,0,1749394807.6091008,aggregation
,3,12,FedAvg,0,1749394807.6091008,aggregation
,3,13,FedAvg,0,1749394807.6091008,aggregation
,3,14,FedAvg,0,1749394807.6091008,aggregation
