node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,local,4,256,tier1_hospital,0.991,standard,50000
1,clinic_001,1000,tier_2,32,GDPR,4,256,tier2_hospital,0.938,standard,20000
2,research_center_002,10000,tier_3,256,PIPEDA,32,512,research_center,0.982,critical,50000
3,mobile_unit_003,1000,tier_1,8,local,2,64,mobile_unit,0.837,standard,2000
4,edge_device_004,100,tier_2,4,local,0,16,edge_device,0.709,high,2000
5,hospital_005,2000,tier_1,32,HIPAA,4,512,tier1_hospital,0.964,critical,20000
6,clinic_006,2000,tier_2,16,GDPR,8,64,tier2_hospital,0.976,critical,5000
7,research_center_007,20000,tier_3,64,HIPAA,8,1024,research_center,1.0,high,50000
8,mobile_unit_008,100,tier_1,16,GDPR,2,32,mobile_unit,0.805,critical,1000
9,edge_device_009,500,tier_2,8,HIPAA,1,32,edge_device,0.75,high,2000
10,hospital_010,5000,tier_1,32,HIPAA,16,256,tier1_hospital,0.963,high,10000
11,clinic_011,5000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.916,high,5000
12,research_center_012,5000,tier_3,128,GDPR,8,512,research_center,0.985,critical,20000
13,mobile_unit_013,100,tier_1,16,GDPR,2,64,mobile_unit,0.854,critical,2000
14,edge_device_014,50,tier_2,4,PIPEDA,0,8,edge_device,0.759,high,2000
