accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,5403.333333333333,,NetworkStructureEvent,,,0.14285714285714285,"{'tier1_hospital': 3, 'tier2_hospital': 3, 'research_center': 3, 'mobile_unit': 3, 'edge_device': 3}",,15,,,,,5,,,,0,,network_structure,,,1749352488.7831502,ring,1104,15,,132,3672,
,,,,,InitialStateEvent,,,,,,15,,,,,,,,,0,,initial_state,,,1749352488.783305,ring,,,,,,
0.0624,,,,,EvaluationEvent,2.4223926944732668,"{'loss': 2.4223926944732668, 'accuracy': 0.0624}",,,,,,,,,,,,,0,,evaluation,,,1749352492.6041791,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,1,,local_training,,,1749352492.604306,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 3.2487900257110596, 'mean': -0.001607737154699862, 'std': 0.19143003225326538}}",,1,0,parameter_transfer,,"14,1",1749352504.6019778,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 3.244997501373291, 'mean': -0.001986621879041195, 'std': 0.19120298326015472}}",,1,1,parameter_transfer,,"0,2",1749352504.602032,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.239992141723633, 'mean': -0.0018512971000745893, 'std': 0.19090938568115234}}",,1,2,parameter_transfer,,"1,3",1749352504.6020532,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.2388274669647217, 'mean': -0.0017748852260410786, 'std': 0.19084148108959198}}",,1,3,parameter_transfer,,"2,4",1749352504.602072,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.249061107635498, 'mean': -0.0014545922167599201, 'std': 0.19144724309444427}}",,1,4,parameter_transfer,,"3,5",1749352504.6020887,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.24018931388855, 'mean': -0.0016702458960935473, 'std': 0.19092267751693726}}",,1,5,parameter_transfer,,"4,6",1749352504.6021073,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.240328788757324, 'mean': -0.0017154800007119775, 'std': 0.19093050062656403}}",,1,6,parameter_transfer,,"5,7",1749352504.6021237,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{7: {'norm': 3.242021322250366, 'mean': -0.002136325230821967, 'std': 0.1910260021686554}}",,1,7,parameter_transfer,,"6,8",1749352504.6021404,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{8: {'norm': 3.2283737659454346, 'mean': -0.0013522050576284528, 'std': 0.19022893905639648}}",,1,8,parameter_transfer,,"7,9",1749352504.6021554,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{9: {'norm': 3.242128849029541, 'mean': -0.002020688960328698, 'std': 0.19103358685970306}}",,1,9,parameter_transfer,,"8,10",1749352504.6021724,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{10: {'norm': 3.2368063926696777, 'mean': -0.0023635663092136383, 'std': 0.1907159835100174}}",,1,10,parameter_transfer,,"9,11",1749352504.6021934,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{11: {'norm': 3.243516206741333, 'mean': -0.0016056208405643702, 'std': 0.19111928343772888}}",,1,11,parameter_transfer,,"10,12",1749352504.6022146,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{12: {'norm': 3.2332327365875244, 'mean': -0.001812112401239574, 'std': 0.19051145017147064}}",,1,12,parameter_transfer,,"11,13",1749352504.6022358,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{13: {'norm': 3.241240978240967, 'mean': -0.0015063961036503315, 'std': 0.1909860223531723}}",,1,13,parameter_transfer,,"12,14",1749352504.602255,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{14: {'norm': 3.2448678016662598, 'mean': -0.001630605896934867, 'std': 0.19119872152805328}}",,1,14,parameter_transfer,,"13,0",1749352504.602271,,,,,,,
,,0,,,AggregationEvent,,,,,,,3,,,,,,,"0,14,1",1,,aggregation,GossipAvg,,1749352504.6022937,,,,,,,
,,1,,,AggregationEvent,,,,,,,3,,,,,,,"1,0,2",1,,aggregation,GossipAvg,,1749352504.602318,,,,,,,
,,2,,,AggregationEvent,,,,,,,3,,,,,,,"2,1,3",1,,aggregation,GossipAvg,,1749352504.6023276,,,,,,,
,,3,,,AggregationEvent,,,,,,,3,,,,,,,"3,2,4",1,,aggregation,GossipAvg,,1749352504.6023383,,,,,,,
,,4,,,AggregationEvent,,,,,,,3,,,,,,,"4,3,5",1,,aggregation,GossipAvg,,1749352504.6023457,,,,,,,
,,5,,,AggregationEvent,,,,,,,3,,,,,,,"5,4,6",1,,aggregation,GossipAvg,,1749352504.6023529,,,,,,,
,,6,,,AggregationEvent,,,,,,,3,,,,,,,"6,5,7",1,,aggregation,GossipAvg,,1749352504.6023936,,,,,,,
,,7,,,AggregationEvent,,,,,,,3,,,,,,,"7,6,8",1,,aggregation,GossipAvg,,1749352504.6024017,,,,,,,
,,8,,,AggregationEvent,,,,,,,3,,,,,,,"8,7,9",1,,aggregation,GossipAvg,,1749352504.6024091,,,,,,,
,,9,,,AggregationEvent,,,,,,,3,,,,,,,"9,8,10",1,,aggregation,GossipAvg,,1749352504.6024184,,,,,,,
,,10,,,AggregationEvent,,,,,,,3,,,,,,,"10,9,11",1,,aggregation,GossipAvg,,1749352504.6024249,,,,,,,
,,11,,,AggregationEvent,,,,,,,3,,,,,,,"11,10,12",1,,aggregation,GossipAvg,,1749352504.6024313,,,,,,,
