param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.2934048175811768, 'mean': 0.009920075535774231, 'std': 0.1938120275735855}",1,0,,1,1749395901.2761455,parameter_transfer
"{'norm': 3.302600860595703, 'mean': 0.010287001729011536, 'std': 0.19433555006980896}",1,1,,0,1749395901.2761948,parameter_transfer
"{'norm': 3.293292760848999, 'mean': 0.01005474105477333, 'std': 0.1937984824180603}",1,2,,1,1749395901.2762122,parameter_transfer
"{'norm': 3.287200450897217, 'mean': 0.009787017479538918, 'std': 0.19345273077487946}",1,3,,2,1749395901.2762272,parameter_transfer
"{'norm': 3.296462297439575, 'mean': 0.01016135886311531, 'std': 0.19397994875907898}",1,4,,3,1749395901.2762413,parameter_transfer
"{'norm': 3.2932605743408203, 'mean': 0.009829866699874401, 'std': 0.19380812346935272}",1,5,,4,1749395901.2762551,parameter_transfer
"{'norm': 3.2809178829193115, 'mean': 0.010276285000145435, 'std': 0.1930566281080246}",1,6,,5,1749395901.2762682,parameter_transfer
"{'norm': 3.2860329151153564, 'mean': 0.00969851016998291, 'std': 0.19338829815387726}",1,7,,6,1749395901.2762825,parameter_transfer
"{'norm': 3.285883903503418, 'mean': 0.01010359451174736, 'std': 0.19335879385471344}",1,8,,7,1749395901.2762957,parameter_transfer
"{'norm': 3.290050745010376, 'mean': 0.010231001302599907, 'std': 0.1935979425907135}",1,9,,8,1749395901.2763083,parameter_transfer
"{'norm': 3.2854561805725098, 'mean': 0.00924460869282484, 'std': 0.19337652623653412}",1,10,,9,1749395901.2763205,parameter_transfer
"{'norm': 3.2923340797424316, 'mean': 0.008981939405202866, 'std': 0.1937946230173111}",1,11,,10,1749395901.2763345,parameter_transfer
"{'norm': 3.2854421138763428, 'mean': 0.009567414410412312, 'std': 0.19335998594760895}",1,12,,11,1749395901.276347,parameter_transfer
"{'norm': 3.2919623851776123, 'mean': 0.010148531757295132, 'std': 0.19371508061885834}",1,13,,12,1749395901.2763605,parameter_transfer
