node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,43.982059,-92.481266,north_america,America/Chicago
1,Baltimore,USA,39.25349,-76.56527,europe,America/New_York
2,Palo Alto,USA,37.478658,-122.129926,asia_pacific,America/Los_Angeles
3,Boston,USA,42.400834,-71.032941,south_america,America/New_York
4,Los Angeles,USA,34.008561,-118.233343,africa,America/Los_Angeles
5,London,UK,51.519642,-0.155975,north_america,Europe/London
6,Paris,France,48.882302,2.366609,europe,Europe/Paris
7,Tokyo,Japan,35.667854,139.689798,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.387482,103.865298,south_america,Asia/Singapore
9,Sydney,Australia,-33.914485,151.194163,africa,Australia/Sydney
10,Rochester,USA,44.065016,-92.47175,north_america,America/Chicago
11,Baltimore,USA,39.290022,-76.578927,europe,America/New_York
12,Palo Alto,USA,37.437905,-122.18552,asia_pacific,America/Los_Angeles
13,Boston,USA,42.359281,-71.05148,south_america,America/New_York
14,Los Angeles,USA,34.094745,-118.213042,africa,America/Los_Angeles
15,London,UK,51.459404,-0.163663,north_america,Europe/London
16,Paris,France,48.881648,2.311297,europe,Europe/Paris
17,Tokyo,Japan,35.71353,139.639975,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.307046,103.835304,south_america,Asia/Singapore
19,Sydney,Australia,-33.855952,151.243531,africa,Australia/Sydney
20,Rochester,USA,44.008004,-92.518603,north_america,America/Chicago
21,Baltimore,USA,39.284408,-76.575495,europe,America/New_York
22,Palo Alto,USA,37.427294,-122.135297,asia_pacific,America/Los_Angeles
23,Boston,USA,42.31204,-71.049474,south_america,America/New_York
24,Los Angeles,USA,34.015401,-118.245161,africa,America/Los_Angeles
