accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4786.0,,NetworkStructureEvent,,,0.04,"{'tier1_hospital': 5, 'tier2_hospital': 5, 'research_center': 5, 'mobile_unit': 5, 'edge_device': 5}",,25,,,,,5,,,,0,,network_structure,,,1749353925.391281,line,1390,12,,185,5824,
,,,,,InitialStateEvent,,,,,,25,,,,,,,,,0,,initial_state,,,1749353925.3914478,line,,,,,,
0.1039,,,,,EvaluationEvent,2.3555752948760986,"{'loss': 2.3555752948760986, 'accuracy': 0.1039}",,,,,,,,,,,,,0,,evaluation,,,1749353930.1779146,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,,,LocalTrainingEvent,,{},,,25,,,,,,,,,,1,,local_training,,,1749353930.1780446,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.2592484951019287, 'mean': 0.009125162847340107, 'std': 0.1918361634016037}}",,1,0,parameter_transfer,,1,1749353942.3926613,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.2608349323272705, 'mean': 0.008958377875387669, 'std': 0.19193759560585022}}",,1,1,parameter_transfer,,0,1749353942.39271,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.270886182785034, 'mean': 0.009175162762403488, 'std': 0.19252030551433563}}",,1,2,parameter_transfer,,1,1749353942.3927276,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.266875982284546, 'mean': 0.00943940319120884, 'std': 0.19227094948291779}}",,1,3,parameter_transfer,,2,1749353942.392742,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.2684781551361084, 'mean': 0.00955639686435461, 'std': 0.19235968589782715}}",,1,4,parameter_transfer,,3,1749353942.392756,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{5: {'norm': 3.273017406463623, 'mean': 0.009916499257087708, 'std': 0.1926092952489853}}",,1,5,parameter_transfer,,4,1749353942.39277,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{6: {'norm': 3.2690465450286865, 'mean': 0.009871684946119785, 'std': 0.19237728416919708}}",,1,6,parameter_transfer,,5,1749353942.392785,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{7: {'norm': 3.2730860710144043, 'mean': 0.010096782818436623, 'std': 0.19260399043560028}}",,1,7,parameter_transfer,,6,1749353942.392799,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{8: {'norm': 3.2694668769836426, 'mean': 0.009023021906614304, 'std': 0.19244377315044403}}",,1,8,parameter_transfer,,7,1749353942.392812,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{9: {'norm': 3.2651586532592773, 'mean': 0.009492607787251472, 'std': 0.1921669989824295}}",,1,9,parameter_transfer,,8,1749353942.3928704,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{10: {'norm': 3.257315158843994, 'mean': 0.008943089284002781, 'std': 0.19173069298267365}}",,1,10,parameter_transfer,,9,1749353942.392885,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{11: {'norm': 3.2623391151428223, 'mean': 0.009110558778047562, 'std': 0.19201916456222534}}",,1,11,parameter_transfer,,10,1749353942.3928988,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{12: {'norm': 3.2724854946136475, 'mean': 0.009033804759383202, 'std': 0.19262133538722992}}",,1,12,parameter_transfer,,11,1749353942.3929114,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{13: {'norm': 3.2743289470672607, 'mean': 0.009315988048911095, 'std': 0.19271664321422577}}",,1,13,parameter_transfer,,12,1749353942.3929243,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{14: {'norm': 3.274655818939209, 'mean': 0.00852175336331129, 'std': 0.19277267158031464}}",,1,14,parameter_transfer,,13,1749353942.392937,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{15: {'norm': 3.2674314975738525, 'mean': 0.008937167003750801, 'std': 0.19232770800590515}}",,1,15,parameter_transfer,,14,1749353942.3929574,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{16: {'norm': 3.270292043685913, 'mean': 0.009170073084533215, 'std': 0.1924854964017868}}",,1,16,parameter_transfer,,15,1749353942.3929706,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{17: {'norm': 3.2699637413024902, 'mean': 0.009665197692811489, 'std': 0.1924418956041336}}",,1,17,parameter_transfer,,16,1749353942.392986,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{18: {'norm': 3.266134738922119, 'mean': 0.00891457125544548, 'std': 0.1922522634267807}}",,1,18,parameter_transfer,,17,1749353942.3930008,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{19: {'norm': 3.269949197769165, 'mean': 0.009506341069936752, 'std': 0.1924489587545395}}",,1,19,parameter_transfer,,18,1749353942.3930132,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{20: {'norm': 3.2662572860717773, 'mean': 0.009321410208940506, 'std': 0.19224019348621368}}",,1,20,parameter_transfer,,19,1749353942.3930254,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{21: {'norm': 3.2708330154418945, 'mean': 0.009281350299715996, 'std': 0.19251208007335663}}",,1,21,parameter_transfer,,20,1749353942.3930385,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{22: {'norm': 3.2690882682800293, 'mean': 0.009011875838041306, 'std': 0.19242195785045624}}",,1,22,parameter_transfer,,21,1749353942.3930523,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{23: {'norm': 3.262664794921875, 'mean': 0.009422835893929005, 'std': 0.19202330708503723}}",,1,23,parameter_transfer,,22,1749353942.3930671,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{24: {'norm': 3.2736289501190186, 'mean': 0.009573502466082573, 'std': 0.19266273081302643}}",,1,24,parameter_transfer,,23,1749353942.3930805,,,,,,,
,,0,,,AggregationEvent,,,,,,,2,,,,,,,"0,1",1,,aggregation,GossipAvg,,1749353942.393101,,,,,,,
,,1,,,AggregationEvent,,,,,,,2,,,,,,,"1,0",1,,aggregation,GossipAvg,,1749353942.3931162,,,,,,,
,,2,,,AggregationEvent,,,,,,,2,,,,,,,"2,1",1,,aggregation,GossipAvg,,1749353942.3931253,,,,,,,
,,3,,,AggregationEvent,,,,,,,2,,,,,,,"3,2",1,,aggregation,GossipAvg,,1749353942.3931355,,,,,,,
,,4,,,AggregationEvent,,,,,,,2,,,,,,,"4,3",1,,aggregation,GossipAvg,,1749353942.3931437,,,,,,,
,,5,,,AggregationEvent,,,,,,,2,,,,,,,"5,4",1,,aggregation,GossipAvg,,1749353942.3931684,,,,,,,
,,6,,,AggregationEvent,,,,,,,2,,,,,,,"6,5",1,,aggregation,GossipAvg,,1749353942.3931763,,,,,,,
,,7,,,AggregationEvent,,,,,,,2,,,,,,,"7,6",1,,aggregation,GossipAvg,,1749353942.393184,,,,,,,
,,8,,,AggregationEvent,,,,,,,2,,,,,,,"8,7",1,,aggregation,GossipAvg,,1749353942.393191,,,,,,,
,,9,,,AggregationEvent,,,,,,,2,,,,,,,"9,8",1,,aggregation,GossipAvg,,1749353942.3931983,,,,,,,
,,10,,,AggregationEvent,,,,,,,2,,,,,,,"10,9",1,,aggregation,GossipAvg,,1749353942.393205,,,,,,,
,,11,,,AggregationEvent,,,,,,,2,,,,,,,"11,10",1,,aggregation,GossipAvg,,1749353942.393212,,,,,,,
,,12,,,AggregationEvent,,,,,,,2,,,,,,,"12,11",1,,aggregation,GossipAvg,,1749353942.3932195,,,,,,,
,,13,,,AggregationEvent,,,,,,,2,,,,,,,"13,12",1,,aggregation,GossipAvg,,1749353942.3932269,,,,,,,
,,14,,,AggregationEvent,,,,,,,2,,,,,,,"14,13",1,,aggregation,GossipAvg,,1749353942.3932338,,,,,,,
