node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.995,high,20000
1,clinic_001,1000,tier_2,64,local,4,256,tier2_hospital,0.908,critical,20000
2,research_center_002,20000,tier_3,128,GDPR,8,256,research_center,0.999,critical,50000
3,mobile_unit_003,1000,tier_1,4,local,2,64,mobile_unit,0.84,standard,5000
4,edge_device_004,50,tier_2,4,PIPEDA,0,8,edge_device,0.726,high,2000
5,hospital_005,2000,tier_1,128,PIPEDA,4,128,tier1_hospital,0.987,critical,50000
6,clinic_006,1000,tier_2,32,GDPR,4,128,tier2_hospital,0.902,high,5000
7,research_center_007,5000,tier_3,128,local,16,1024,research_center,0.986,high,100000
8,mobile_unit_008,1000,tier_1,4,local,1,32,mobile_unit,0.816,high,2000
9,edge_device_009,500,tier_2,8,local,1,16,edge_device,0.729,standard,500
10,hospital_010,2000,tier_1,128,GDPR,8,512,tier1_hospital,0.985,critical,20000
11,clinic_011,2000,tier_2,16,PIPEDA,4,128,tier2_hospital,0.979,critical,5000
12,research_center_012,10000,tier_3,128,local,16,1024,research_center,0.982,high,50000
13,mobile_unit_013,500,tier_1,8,local,1,64,mobile_unit,0.766,high,2000
14,edge_device_014,50,tier_2,2,GDPR,1,32,edge_device,0.84,high,1000
15,hospital_015,5000,tier_1,128,PIPEDA,4,512,tier1_hospital,0.966,high,20000
16,clinic_016,2000,tier_2,64,local,8,64,tier2_hospital,0.938,critical,10000
17,research_center_017,5000,tier_3,64,HIPAA,8,512,research_center,0.985,critical,50000
18,mobile_unit_018,100,tier_1,8,GDPR,2,32,mobile_unit,0.797,high,1000
19,edge_device_019,50,tier_2,2,local,1,8,edge_device,0.733,critical,1000
20,hospital_020,2000,tier_1,32,HIPAA,16,256,tier1_hospital,0.964,critical,10000
21,clinic_021,2000,tier_2,64,local,4,64,tier2_hospital,0.938,high,5000
22,research_center_022,10000,tier_3,64,local,16,1024,research_center,0.998,critical,20000
23,mobile_unit_023,500,tier_1,4,GDPR,2,64,mobile_unit,0.838,high,2000
24,edge_device_024,500,tier_2,2,GDPR,0,8,edge_device,0.714,standard,500
25,hospital_025,10000,tier_1,64,PIPEDA,8,256,tier1_hospital,0.993,high,50000
26,clinic_026,1000,tier_2,64,HIPAA,8,256,tier2_hospital,0.966,standard,5000
27,research_center_027,5000,tier_3,256,GDPR,32,256,research_center,0.985,high,50000
28,mobile_unit_028,500,tier_1,4,GDPR,1,32,mobile_unit,0.847,critical,2000
29,edge_device_029,500,tier_2,4,PIPEDA,0,32,edge_device,0.751,critical,2000
