param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.280486822128296, 'mean': 0.014857788570225239, 'std': 0.19273270666599274}",1,0,,1,1749354051.8887787,parameter_transfer
"{'norm': 3.2785346508026123, 'mean': 0.015609581023454666, 'std': 0.19255785644054413}",1,1,,0,1749354051.8888297,parameter_transfer
"{'norm': 3.269876480102539, 'mean': 0.015307049266994, 'std': 0.19207033514976501}",1,2,,1,1749354051.8888464,parameter_transfer
"{'norm': 3.2857747077941895, 'mean': 0.015246676281094551, 'std': 0.19301487505435944}",1,3,,2,1749354051.8888614,parameter_transfer
"{'norm': 3.267428398132324, 'mean': 0.015185113996267319, 'std': 0.19193531572818756}",1,4,,3,1749354051.888875,parameter_transfer
"{'norm': 3.2664730548858643, 'mean': 0.015401936136186123, 'std': 0.19186155498027802}",1,5,,4,1749354051.8888893,parameter_transfer
"{'norm': 3.2969727516174316, 'mean': 0.014572626911103725, 'std': 0.19372865557670593}",1,6,,5,1749354051.888904,parameter_transfer
"{'norm': 3.278801202774048, 'mean': 0.014625289477407932, 'std': 0.19265086948871613}",1,7,,6,1749354051.8889172,parameter_transfer
"{'norm': 3.283018112182617, 'mean': 0.015867261216044426, 'std': 0.19280187785625458}",1,8,,7,1749354051.8889303,parameter_transfer
"{'norm': 3.303173542022705, 'mean': 0.015556835569441319, 'std': 0.1940186768770218}",1,9,,8,1749354051.8889883,parameter_transfer
"{'norm': 3.267085313796997, 'mean': 0.01524520292878151, 'std': 0.1919102817773819}",1,10,,9,1749354051.889002,parameter_transfer
"{'norm': 3.292267084121704, 'mean': 0.014713585376739502, 'std': 0.19343993067741394}",1,11,,10,1749354051.8890204,parameter_transfer
"{'norm': 3.2721519470214844, 'mean': 0.014712793752551079, 'std': 0.19225123524665833}",1,12,,11,1749354051.8890343,parameter_transfer
"{'norm': 3.2650184631347656, 'mean': 0.014842119067907333, 'std': 0.1918196976184845}",1,13,,12,1749354051.8890476,parameter_transfer
"{'norm': 3.2691397666931152, 'mean': 0.01518567930907011, 'std': 0.192036435008049}",1,14,,13,1749354051.8890598,parameter_transfer
"{'norm': 3.2679600715637207, 'mean': 0.015091225504875183, 'std': 0.19197414815425873}",1,15,,14,1749354051.8890777,parameter_transfer
"{'norm': 3.27103853225708, 'mean': 0.0157847311347723, 'std': 0.1921003758907318}",1,16,,15,1749354051.8890908,parameter_transfer
"{'norm': 3.2880325317382812, 'mean': 0.014114315621554852, 'std': 0.193234384059906}",1,17,,16,1749354051.889103,parameter_transfer
"{'norm': 3.2833707332611084, 'mean': 0.01478805486112833, 'std': 0.19290851056575775}",1,18,,17,1749354051.889119,parameter_transfer
"{'norm': 3.2806859016418457, 'mean': 0.014521393924951553, 'std': 0.1927700936794281}",1,19,,18,1749354051.8891318,parameter_transfer
"{'norm': 3.2665345668792725, 'mean': 0.015584882348775864, 'std': 0.1918504238128662}",1,20,,19,1749354051.8891442,parameter_transfer
"{'norm': 3.2648801803588867, 'mean': 0.014377017505466938, 'std': 0.19184695184230804}",1,21,,20,1749354051.8891566,parameter_transfer
"{'norm': 3.2884209156036377, 'mean': 0.015108340419828892, 'std': 0.19318215548992157}",1,22,,21,1749354051.8891704,parameter_transfer
"{'norm': 3.2864489555358887, 'mean': 0.015882782638072968, 'std': 0.19300343096256256}",1,23,,22,1749354051.889186,parameter_transfer
"{'norm': 3.2459638118743896, 'mean': 0.015182122588157654, 'std': 0.19066675007343292}",1,24,,23,1749354051.8891988,parameter_transfer
,1,1,GossipAvg,0,1749354051.8892195,aggregation
,1,0,GossipAvg,1,1749354051.8892353,aggregation
,1,1,GossipAvg,2,1749354051.889244,aggregation
,1,2,GossipAvg,3,1749354051.8892555,aggregation
,1,3,GossipAvg,4,1749354051.8892639,aggregation
,1,4,GossipAvg,5,1749354051.889288,aggregation
,1,5,GossipAvg,6,1749354051.8892953,aggregation
,1,6,GossipAvg,7,1749354051.8893027,aggregation
,1,7,GossipAvg,8,1749354051.8893101,aggregation
,1,8,GossipAvg,9,1749354051.889317,aggregation
,1,9,GossipAvg,10,1749354051.889324,aggregation
,1,10,GossipAvg,11,1749354051.8893306,aggregation
,1,11,GossipAvg,12,1749354051.889338,aggregation
,1,12,GossipAvg,13,1749354051.889345,aggregation
,1,13,GossipAvg,14,1749354051.8893518,aggregation
,1,14,GossipAvg,15,1749354051.8893588,aggregation
,1,15,GossipAvg,16,1749354051.8893657,aggregation
,1,16,GossipAvg,17,1749354051.8893728,aggregation
,1,17,GossipAvg,18,1749354051.8893795,aggregation
,1,18,GossipAvg,19,1749354051.8893864,aggregation
,1,19,GossipAvg,20,1749354051.889393,aggregation
,1,20,GossipAvg,21,1749354051.8893995,aggregation
,1,21,GossipAvg,22,1749354051.8894067,aggregation
,1,22,GossipAvg,23,1749354051.889428,aggregation
,1,23,GossipAvg,24,1749354051.889436,aggregation
"{'norm': 3.2879769802093506, 'mean': 0.01577439345419407, 'std': 0.1931026726961136}",2,0,,1,1749354054.4034207,parameter_transfer
"{'norm': 3.2876150608062744, 'mean': 0.015389207750558853, 'std': 0.1931123435497284}",2,1,,0,1749354054.4034665,parameter_transfer
"{'norm': 3.274224281311035, 'mean': 0.015416327863931656, 'std': 0.1923186182975769}",2,2,,1,1749354054.4034867,parameter_transfer
"{'norm': 3.2761240005493164, 'mean': 0.014625711366534233, 'std': 0.19249261915683746}",2,3,,2,1749354054.4035053,parameter_transfer
"{'norm': 3.279343605041504, 'mean': 0.015832440927624702, 'std': 0.1925874799489975}",2,4,,3,1749354054.4035206,parameter_transfer
"{'norm': 3.265803337097168, 'mean': 0.015382291749119759, 'std': 0.1918235570192337}",2,5,,4,1749354054.4035356,parameter_transfer
"{'norm': 3.2833096981048584, 'mean': 0.015867022797465324, 'std': 0.19281913340091705}",2,6,,5,1749354054.40355,parameter_transfer
"{'norm': 3.279076337814331, 'mean': 0.015006358735263348, 'std': 0.19263781607151031}",2,7,,6,1749354054.403564,parameter_transfer
"{'norm': 3.275453805923462, 'mean': 0.015679042786359787, 'std': 0.19237007200717926}",2,8,,7,1749354054.40358,parameter_transfer
"{'norm': 3.2908480167388916, 'mean': 0.01543887797743082, 'std': 0.19329951703548431}",2,9,,8,1749354054.403594,parameter_transfer
"{'norm': 3.287620782852173, 'mean': 0.014675176702439785, 'std': 0.1931682825088501}",2,10,,9,1749354054.403608,parameter_transfer
"{'norm': 3.305015802383423, 'mean': 0.014993904158473015, 'std': 0.19417186081409454}",2,11,,10,1749354054.4036217,parameter_transfer
"{'norm': 3.2802541255950928, 'mean': 0.014891901053488255, 'std': 0.1927163153886795}",2,12,,11,1749354054.4036348,parameter_transfer
"{'norm': 3.2847816944122314, 'mean': 0.01583542488515377, 'std': 0.19290877878665924}",2,13,,12,1749354054.4036486,parameter_transfer
"{'norm': 3.285407543182373, 'mean': 0.015268080867826939, 'std': 0.1929914951324463}",2,14,,13,1749354054.4036617,parameter_transfer
"{'norm': 3.2915947437286377, 'mean': 0.015797974541783333, 'std': 0.19331462681293488}",2,15,,14,1749354054.4036756,parameter_transfer
"{'norm': 3.2888545989990234, 'mean': 0.014470498077571392, 'std': 0.19325661659240723}",2,16,,15,1749354054.4036894,parameter_transfer
