accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3970.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 2, 'mobile_unit': 2, 'edge_device': 2}",,10,,,,,5,,,,0,,network_structure,,,1749354157.5500228,complete,478,45,,61,1384,
,,,,,InitialStateEvent,,,,,,10,,,,,,,,,0,,initial_state,,,1749354157.550187,complete,,,,,,
0.1236,,,,,EvaluationEvent,2.377415827178955,"{'loss': 2.377415827178955, 'accuracy': 0.1236}",,,,,,,,,,,,,0,,evaluation,,,1749354159.6033692,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,LocalTrainingEvent,,{},,,10,,,,,,,,,,1,,local_training,,,1749354159.6034973,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{0: {'norm': 4.218896865844727, 'mean': 0.0197085440158844, 'std': 0.24781842529773712}}",,1,0,parameter_transfer,,"1,2,3,4,5,6,7,8,9",1749354166.852193,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{1: {'norm': 4.140735626220703, 'mean': 0.017353929579257965, 'std': 0.24337725341320038}}",,1,1,parameter_transfer,,"0,2,3,4,5,6,7,8,9",1749354166.8522632,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{2: {'norm': 4.293525218963623, 'mean': 0.03303294628858566, 'std': 0.2508326470851898}}",,1,2,parameter_transfer,,"0,1,3,4,5,6,7,8,9",1749354166.8523006,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{3: {'norm': 4.239913463592529, 'mean': 0.033013395965099335, 'std': 0.24764853715896606}}",,1,3,parameter_transfer,,"0,1,2,4,5,6,7,8,9",1749354166.8523352,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{4: {'norm': 4.267611503601074, 'mean': 0.029929935932159424, 'std': 0.24968396127223969}}",,1,4,parameter_transfer,,"0,1,2,3,5,6,7,8,9",1749354166.8523676,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,9,,,,"{5: {'norm': 4.331364154815674, 'mean': 0.02445642463862896, 'std': 0.25405362248420715}}",,1,5,parameter_transfer,,"0,1,2,3,4,6,7,8,9",1749354166.8523993,,,,,,,
