node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,HIPAA_compliant,radiology,1986,mixed,mayo_clinic,tier1_hospital,1097
1,international,ISO27001,oncology,1998,mixed,johns_hopkins,tier2_hospital,3687
2,regional,FedRAMP,cardiology,1975,public,stanford_med,research_center,2475
3,regional,ISO27001,neurology,2001,public,mass_general,mobile_unit,2406
4,international,SOC2,pathology,1976,mixed,ucla_health,edge_device,862
5,national,HIPAA_compliant,radiology,2019,mixed,mayo_clinic,tier1_hospital,2747
6,local,ISO27001,oncology,2014,private,johns_hopkins,tier2_hospital,319
7,regional,FedRAMP,cardiology,1991,mixed,stanford_med,research_center,1769
8,local,SOC2,neurology,2020,mixed,mass_general,mobile_unit,3894
9,regional,ISO27001,pathology,2010,private,ucla_health,edge_device,2400
