edge,weight
0-1,2398.97
0-2,5069.59
0-3,514.06
0-4,1178.03
0-5,100.21
0-6,1147.48
0-7,2015.13
0-8,1147.32
0-9,4022.86
1-2,90.74
1-3,988.99
1-4,87.66
1-5,588.19
1-6,4150.5
1-7,4221.97
1-8,107.17
1-9,2220.04
2-3,1892.68
2-4,105.14
2-5,4897.84
2-6,1131.66
2-7,93.77
2-8,1074.6
2-9,87.65
3-4,535.53
3-5,102.68
3-6,1607.88
3-7,2074.92
3-8,1129.38
3-9,418.82
4-5,5652.06
4-6,1100.76
4-7,1865.27
4-8,847.52
4-9,959.26
5-6,116.07
5-7,95.29
5-8,2326.09
5-9,84.94
6-7,894.33
6-8,5651.7
6-9,4384.22
7-8,83.54
7-9,108.41
8-9,1797.47
