node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.032618,-92.502067,north_america,America/Chicago
1,Baltimore,USA,39.297077,-76.626751,europe,America/New_York
2,Palo Alto,USA,37.467873,-122.101053,asia_pacific,America/Los_Angeles
3,Boston,USA,42.350338,-71.033251,south_america,America/New_York
4,Los Angeles,USA,34.095053,-118.267364,africa,America/Los_Angeles
5,London,UK,51.464138,-0.090932,north_america,Europe/London
6,Paris,France,48.827692,2.371497,europe,Europe/Paris
7,Tokyo,Japan,35.634903,139.658453,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.306881,103.86746,south_america,Asia/Singapore
9,Sydney,Australia,-33.909191,151.227074,africa,Australia/Sydney
