node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,4,256,tier1_hospital,0.956,standard,10000
1,clinic_001,1000,tier_2,16,GDPR,2,256,tier2_hospital,0.929,critical,20000
2,research_center_002,5000,tier_3,256,HIPAA,32,256,research_center,0.981,high,100000
3,mobile_unit_003,100,tier_1,8,HIPAA,1,64,mobile_unit,0.767,high,2000
4,edge_device_004,50,tier_2,4,PIPEDA,1,32,edge_device,0.74,critical,2000
5,hospital_005,10000,tier_1,128,GDPR,8,128,tier1_hospital,0.983,standard,20000
6,clinic_006,1000,tier_2,64,GDPR,4,64,tier2_hospital,0.927,high,10000
7,research_center_007,5000,tier_3,256,HIPAA,16,1024,research_center,0.997,high,50000
8,mobile_unit_008,500,tier_1,8,PIPEDA,1,32,mobile_unit,0.854,critical,5000
9,edge_device_009,500,tier_2,4,PIPEDA,0,8,edge_device,0.804,standard,500
