param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 4.354053974151611, 'mean': 0.06764999777078629, 'std': 0.24748559296131134}",1,0,,1,1749356003.4861526,parameter_transfer
"{'norm': 4.103302001953125, 'mean': 0.057675786316394806, 'std': 0.23480971157550812}",1,1,,0,1749356003.486203,parameter_transfer
"{'norm': 4.275221347808838, 'mean': 0.05604366585612297, 'std': 0.24560682475566864}",1,2,,1,1749356003.486221,parameter_transfer
"{'norm': 4.30298376083374, 'mean': 0.04141050949692726, 'std': 0.2501513361930847}",1,3,,2,1749356003.4862366,parameter_transfer
"{'norm': 4.290536403656006, 'mean': 0.04811321571469307, 'std': 0.24820196628570557}",1,4,,3,1749356003.4862514,parameter_transfer
"{'norm': 4.279361724853516, 'mean': 0.05251411721110344, 'std': 0.2466350942850113}",1,5,,4,1749356003.4862661,parameter_transfer
"{'norm': 4.292903900146484, 'mean': 0.05988900363445282, 'std': 0.2457701712846756}",1,6,,5,1749356003.4862797,parameter_transfer
"{'norm': 4.229434967041016, 'mean': 0.06288669258356094, 'std': 0.2411571741104126}",1,7,,6,1749356003.486293,parameter_transfer
"{'norm': 4.235760688781738, 'mean': 0.032894063740968704, 'std': 0.24741753935813904}",1,8,,7,1749356003.4863062,parameter_transfer
"{'norm': 4.189371109008789, 'mean': 0.043196339160203934, 'std': 0.2430523931980133}",1,9,,8,1749356003.4863195,parameter_transfer
,1,1,GossipAvg,0,1749356003.4863393,aggregation
,1,0,GossipAvg,1,1749356003.4863524,aggregation
,1,1,GossipAvg,2,1749356003.4863608,aggregation
,1,2,GossipAvg,3,1749356003.4863684,aggregation
,1,3,GossipAvg,4,1749356003.486375,aggregation
,1,4,GossipAvg,5,1749356003.486381,aggregation
,1,5,GossipAvg,6,1749356003.4863868,aggregation
,1,6,GossipAvg,7,1749356003.486393,aggregation
,1,7,GossipAvg,8,1749356003.4864082,aggregation
,1,8,GossipAvg,9,1749356003.4864137,aggregation
"{'norm': 4.528221130371094, 'mean': 0.015902824699878693, 'std': 0.26635366678237915}",2,0,,1,1749356005.2228105,parameter_transfer
"{'norm': 4.62213134765625, 'mean': 0.0218847393989563, 'std': 0.2714810371398926}",2,1,,0,1749356005.2228518,parameter_transfer
"{'norm': 4.344522953033447, 'mean': 0.02117113769054413, 'std': 0.25512656569480896}",2,2,,1,1749356005.2228703,parameter_transfer
"{'norm': 4.425546646118164, 'mean': 0.01275023352354765, 'std': 0.26046594977378845}",2,3,,2,1749356005.2228856,parameter_transfer
"{'norm': 4.495151042938232, 'mean': 0.021839065477252007, 'std': 0.26397743821144104}",2,4,,3,1749356005.2229002,parameter_transfer
"{'norm': 4.375615119934082, 'mean': 0.017762279137969017, 'std': 0.2572230398654938}",2,5,,4,1749356005.2229135,parameter_transfer
"{'norm': 4.353405475616455, 'mean': 0.016750656068325043, 'std': 0.25597941875457764}",2,6,,5,1749356005.2229278,parameter_transfer
"{'norm': 4.433138370513916, 'mean': 0.027646789327263832, 'std': 0.2597580850124359}",2,7,,6,1749356005.222941,parameter_transfer
"{'norm': 4.475438117980957, 'mean': 0.014672774821519852, 'std': 0.2633092403411865}",2,8,,7,1749356005.2229536,parameter_transfer
"{'norm': 4.44219446182251, 'mean': 0.018966594710946083, 'std': 0.26107078790664673}",2,9,,8,1749356005.2229657,parameter_transfer
,2,1,GossipAvg,0,1749356005.222981,aggregation
,2,0,GossipAvg,1,1749356005.2229905,aggregation
,2,1,GossipAvg,2,1749356005.222997,aggregation
,2,2,GossipAvg,3,1749356005.2230039,aggregation
,2,3,GossipAvg,4,1749356005.2230105,aggregation
,2,4,GossipAvg,5,1749356005.2230163,aggregation
,2,5,GossipAvg,6,1749356005.2230222,aggregation
,2,6,GossipAvg,7,1749356005.2230375,aggregation
,2,7,GossipAvg,8,1749356005.2230434,aggregation
,2,8,GossipAvg,9,1749356005.2230487,aggregation
"{'norm': 4.860953330993652, 'mean': 0.015614833682775497, 'std': 0.28600847721099854}",3,0,,1,1749356007.0508206,parameter_transfer
"{'norm': 4.853137016296387, 'mean': 0.014044991694390774, 'std': 0.2856287658214569}",3,1,,0,1749356007.0508687,parameter_transfer
"{'norm': 4.605420112609863, 'mean': 0.015352110378444195, 'std': 0.2709423899650574}",3,2,,1,1749356007.0508854,parameter_transfer
"{'norm': 4.688364028930664, 'mean': 0.01321939006447792, 'std': 0.27594804763793945}",3,3,,2,1749356007.0508997,parameter_transfer
"{'norm': 4.64544677734375, 'mean': 0.015068256296217442, 'std': 0.2733205556869507}",3,4,,3,1749356007.0509138,parameter_transfer
"{'norm': 4.703756809234619, 'mean': 0.014023075811564922, 'std': 0.27681657671928406}",3,5,,4,1749356007.0509274,parameter_transfer
"{'norm': 4.705268859863281, 'mean': 0.012285628356039524, 'std': 0.27698829770088196}",3,6,,5,1749356007.0509527,parameter_transfer
"{'norm': 4.68071985244751, 'mean': 0.010906975716352463, 'std': 0.27559831738471985}",3,7,,6,1749356007.0509655,parameter_transfer
"{'norm': 4.717249870300293, 'mean': 0.012209032662212849, 'std': 0.2776983678340912}",3,8,,7,1749356007.0509775,parameter_transfer
"{'norm': 4.696344375610352, 'mean': 0.009762522764503956, 'std': 0.27656251192092896}",3,9,,8,1749356007.0509894,parameter_transfer
,3,1,GossipAvg,0,1749356007.0510046,aggregation
,3,0,GossipAvg,1,1749356007.0510142,aggregation
,3,1,GossipAvg,2,1749356007.0510209,aggregation
,3,2,GossipAvg,3,1749356007.0510273,aggregation
,3,3,GossipAvg,4,1749356007.051037,aggregation
,3,4,GossipAvg,5,1749356007.0510447,aggregation
,3,5,GossipAvg,6,1749356007.0510504,aggregation
,3,6,GossipAvg,7,1749356007.0510561,aggregation
,3,7,GossipAvg,8,1749356007.0510614,aggregation
,3,8,GossipAvg,9,1749356007.0510666,aggregation
