node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,4,128,tier1_hospital,0.996,critical,10000
1,clinic_001,2000,tier_2,64,HIPAA,4,128,tier2_hospital,0.926,critical,10000
2,research_center_002,5000,tier_3,128,local,16,256,research_center,1.0,high,20000
3,mobile_unit_003,100,tier_1,16,PIPEDA,1,32,mobile_unit,0.818,standard,2000
4,edge_device_004,100,tier_2,2,GDPR,0,32,edge_device,0.837,critical,2000
5,hospital_005,10000,tier_1,128,HIPAA,8,128,tier1_hospital,0.956,high,50000
6,clinic_006,2000,tier_2,32,HIPAA,2,128,tier2_hospital,0.975,critical,20000
7,research_center_007,10000,tier_3,64,HIPAA,8,256,research_center,0.999,standard,50000
8,mobile_unit_008,1000,tier_1,16,PIPEDA,2,16,mobile_unit,0.819,standard,2000
9,edge_device_009,100,tier_2,4,local,1,32,edge_device,0.731,high,2000
