timestamp,round_num,node_id,parameter_norm,parameter_summary
1749356390.7387438,1,0,3.1811881065368652,"{'norm': 3.1811881065368652, 'mean': -0.013691642321646214, 'std': 0.1869526207447052}"
1749356390.738794,1,1,3.1866650581359863,"{'norm': 3.1866650581359863, 'mean': -0.01294395700097084, 'std': 0.18732936680316925}"
1749356390.7388122,1,2,3.1787471771240234,"{'norm': 3.1787471771240234, 'mean': -0.012546993792057037, 'std': 0.18688875436782837}"
1749356390.7388287,1,3,3.1828720569610596,"{'norm': 3.1828720569610596, 'mean': -0.01346537470817566, 'std': 0.18706853687763214}"
1749356390.7388432,1,4,3.1836297512054443,"{'norm': 3.1836297512054443, 'mean': -0.013750409707427025, 'std': 0.18709257245063782}"
1749356390.738858,1,5,3.169874668121338,"{'norm': 3.169874668121338, 'mean': -0.013082560151815414, 'std': 0.18632791936397552}"
1749356390.7388725,1,6,3.171755790710449,"{'norm': 3.171755790710449, 'mean': -0.01344490796327591, 'std': 0.18641327321529388}"
1749356390.7388866,1,7,3.183126926422119,"{'norm': 3.183126926422119, 'mean': -0.013341237790882587, 'std': 0.18709248304367065}"
1749356390.7389002,1,8,3.1758997440338135,"{'norm': 3.1758997440338135, 'mean': -0.013598797842860222, 'std': 0.1866469383239746}"
1749356390.738913,1,9,3.176117420196533,"{'norm': 3.176117420196533, 'mean': -0.013611124828457832, 'std': 0.18665891885757446}"
1749356393.7787704,2,0,3.1872575283050537,"{'norm': 3.1872575283050537, 'mean': -0.013665706850588322, 'std': 0.18731310963630676}"
1749356393.7788138,2,1,3.1700565814971924,"{'norm': 3.1700565814971924, 'mean': -0.013257624581456184, 'std': 0.1863263100385666}"
1749356393.7788327,2,2,3.179490089416504,"{'norm': 3.179490089416504, 'mean': -0.01283930242061615, 'std': 0.18691280484199524}"
1749356393.7788484,2,3,3.17533802986145,"{'norm': 3.17533802986145, 'mean': -0.012513802386820316, 'std': 0.18668965995311737}"
1749356393.7788634,2,4,3.190241575241089,"{'norm': 3.190241575241089, 'mean': -0.013940547592937946, 'std': 0.18746918439865112}"
1749356393.7788782,2,5,3.1679604053497314,"{'norm': 3.1679604053497314, 'mean': -0.012760699726641178, 'std': 0.1862371861934662}"
1749356393.778893,2,6,3.1830129623413086,"{'norm': 3.1830129623413086, 'mean': -0.013139116577804089, 'std': 0.18710005283355713}"
1749356393.7789094,2,7,3.182466745376587,"{'norm': 3.182466745376587, 'mean': -0.01284053921699524, 'std': 0.1870885193347931}"
1749356393.7789228,2,8,3.1798009872436523,"{'norm': 3.1798009872436523, 'mean': -0.012838385067880154, 'std': 0.18693120777606964}"
1749356393.778936,2,9,3.181732654571533,"{'norm': 3.181732654571533, 'mean': -0.012975539080798626, 'std': 0.18703584372997284}"
1749356396.8921535,3,0,3.1743147373199463,"{'norm': 3.1743147373199463, 'mean': -0.012343388050794601, 'std': 0.18664056062698364}"
1749356396.892195,3,1,3.1831793785095215,"{'norm': 3.1831793785095215, 'mean': -0.013667672872543335, 'std': 0.1870720088481903}"
1749356396.8922126,3,2,3.181875705718994,"{'norm': 3.181875705718994, 'mean': -0.012513049878180027, 'std': 0.18707579374313354}"
1749356396.89223,3,3,3.190066337585449,"{'norm': 3.190066337585449, 'mean': -0.01305084303021431, 'std': 0.18752287328243256}"
1749356396.8922455,3,4,3.1806468963623047,"{'norm': 3.1806468963623047, 'mean': -0.012714283540844917, 'std': 0.1869896501302719}"
1749356396.8922596,3,5,3.1691713333129883,"{'norm': 3.1691713333129883, 'mean': -0.012788075953722, 'std': 0.18630684912204742}"
1749356396.8922725,3,6,3.175171136856079,"{'norm': 3.175171136856079, 'mean': -0.013124517165124416, 'std': 0.18663786351680756}"
1749356396.8922853,3,7,3.1819114685058594,"{'norm': 3.1819114685058594, 'mean': -0.013135645538568497, 'std': 0.18703524768352509}"
1749356396.8922977,3,8,3.1878249645233154,"{'norm': 3.1878249645233154, 'mean': -0.012400015257298946, 'std': 0.18743465840816498}"
1749356396.8923094,3,9,3.175414800643921,"{'norm': 3.175414800643921, 'mean': -0.012595681473612785, 'std': 0.18668869137763977}"
