edge,weight
0-1,953.51
0-2,5277.05
0-3,1720.51
0-4,462.79
0-5,402.99
0-6,1926.93
0-7,85.24
0-8,1837.2
0-9,1825.03
1-2,971.12
1-3,1772.35
1-4,535.05
1-5,450.37
1-6,548.6
1-7,4791.32
1-8,472.09
1-9,5781.07
2-3,5432.38
2-4,4974.97
2-5,98.59
2-6,5411.64
2-7,4381.48
2-8,948.62
2-9,5445.69
3-4,2186.91
3-5,575.8
3-6,578.08
3-7,410.81
3-8,1943.18
3-9,1791.02
4-5,809.45
4-6,1799.96
4-7,1686.11
4-8,96.14
4-9,577.92
5-6,4790.55
5-7,2270.69
5-8,1736.15
5-9,1141.19
6-7,1934.94
6-8,5746.63
6-9,5013.68
7-8,4737.45
7-9,402.29
8-9,2089.84
