timestamp,round_num,node_id,parameter_norm,parameter_summary
1749356707.874395,1,0,3.3972465991973877,"{'norm': 3.3972465991973877, 'mean': -0.007446890696883202, 'std': 0.2000461220741272}"
1749356707.8744953,1,1,3.3700859546661377,"{'norm': 3.3700859546661377, 'mean': -0.00775689072906971, 'std': 0.19843266904354095}"
1749356707.8745332,1,2,3.3943593502044678,"{'norm': 3.3943593502044678, 'mean': -0.006401746068149805, 'std': 0.19991207122802734}"
1749356707.8745685,1,3,3.397369384765625,"{'norm': 3.397369384765625, 'mean': -0.009048168547451496, 'std': 0.19998732209205627}"
1749356707.8746,1,4,3.393057107925415,"{'norm': 3.393057107925415, 'mean': -0.006918562110513449, 'std': 0.19981805980205536}"
1749356707.8746316,1,5,3.3839707374572754,"{'norm': 3.3839707374572754, 'mean': -0.007304976228624582, 'std': 0.19926853477954865}"
1749356707.8746636,1,6,3.40209698677063,"{'norm': 3.40209698677063, 'mean': -0.007787685375660658, 'std': 0.20031917095184326}"
1749356707.8746946,1,7,3.3959903717041016,"{'norm': 3.3959903717041016, 'mean': -0.007080379407852888, 'std': 0.1999853402376175}"
1749356707.8747275,1,8,3.4040110111236572,"{'norm': 3.4040110111236572, 'mean': -0.006628476083278656, 'std': 0.20047372579574585}"
1749356707.8747592,1,9,3.413133144378662,"{'norm': 3.413133144378662, 'mean': -0.00653392169624567, 'std': 0.20101463794708252}"
1749356711.2802656,2,0,3.4144668579101562,"{'norm': 3.4144668579101562, 'mean': -0.006119635887444019, 'std': 0.20110629498958588}"
1749356711.2803283,2,1,3.423457384109497,"{'norm': 3.423457384109497, 'mean': -0.00581427663564682, 'std': 0.20164534449577332}"
1749356711.280363,2,2,3.3710291385650635,"{'norm': 3.3710291385650635, 'mean': -0.006591398734599352, 'std': 0.1985304057598114}"
1749356711.280397,2,3,3.3745131492614746,"{'norm': 3.3745131492614746, 'mean': -0.007543996907770634, 'std': 0.19870193302631378}"
1749356711.2804327,2,4,3.405618667602539,"{'norm': 3.405618667602539, 'mean': -0.006304901093244553, 'std': 0.20057891309261322}"
1749356711.2804646,2,5,3.3892362117767334,"{'norm': 3.3892362117767334, 'mean': -0.007353560999035835, 'std': 0.1995772272348404}"
1749356711.2804983,2,6,3.420591115951538,"{'norm': 3.420591115951538, 'mean': -0.00861264392733574, 'std': 0.20137616991996765}"
1749356711.2805295,2,7,3.4133718013763428,"{'norm': 3.4133718013763428, 'mean': -0.006803278345614672, 'std': 0.2010197788476944}"
1749356711.2805595,2,8,3.3786842823028564,"{'norm': 3.3786842823028564, 'mean': -0.0070215631276369095, 'std': 0.19896702468395233}"
1749356711.2805896,2,9,3.384650945663452,"{'norm': 3.384650945663452, 'mean': -0.006048873066902161, 'std': 0.19935071468353271}"
1749356714.72341,3,0,3.419142007827759,"{'norm': 3.419142007827759, 'mean': -0.006549229379743338, 'std': 0.20136840641498566}"
1749356714.723472,3,1,3.3978633880615234,"{'norm': 3.3978633880615234, 'mean': -0.006565352436155081, 'std': 0.20011335611343384}"
1749356714.7235072,3,2,3.383312940597534,"{'norm': 3.383312940597534, 'mean': -0.005267657805234194, 'std': 0.19929401576519012}"
1749356714.7235394,3,3,3.420898914337158,"{'norm': 3.420898914337158, 'mean': -0.006806810386478901, 'std': 0.20146344602108002}"
1749356714.7235694,3,4,3.4098551273345947,"{'norm': 3.4098551273345947, 'mean': -0.00844718050211668, 'std': 0.20075000822544098}"
1749356714.7236025,3,5,3.3923146724700928,"{'norm': 3.3923146724700928, 'mean': -0.005801244638860226, 'std': 0.19980986416339874}"
1749356714.7236342,3,6,3.4194483757019043,"{'norm': 3.4194483757019043, 'mean': -0.005834501702338457, 'std': 0.20140843093395233}"
1749356714.7236652,3,7,3.415228843688965,"{'norm': 3.415228843688965, 'mean': -0.00633762264624238, 'std': 0.20114447176456451}"
1749356714.723695,3,8,3.3973639011383057,"{'norm': 3.3973639011383057, 'mean': -0.006985945627093315, 'std': 0.20006966590881348}"
1749356714.7237248,3,9,3.4038641452789307,"{'norm': 3.4038641452789307, 'mean': -0.0056686061434447765, 'std': 0.20049449801445007}"
