node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,SOC2,radiology,2019,public,mayo_clinic,tier1_hospital,2473
1,international,SOC2,oncology,1973,research_grant,johns_hopkins,tier2_hospital,716
2,international,SOC2,cardiology,1952,private,stanford_med,research_center,1489
3,national,SOC2,neurology,2004,mixed,mass_general,mobile_unit,1544
4,national,HIPAA_compliant,pathology,1987,mixed,ucla_health,edge_device,1675
5,local,ISO27001,radiology,1991,public,mayo_clinic,tier1_hospital,2431
6,regional,ISO27001,oncology,1963,public,johns_hopkins,tier2_hospital,4532
7,national,ISO27001,cardiology,1997,public,stanford_med,research_center,1596
8,local,HIPAA_compliant,neurology,1974,private,mass_general,mobile_unit,790
9,international,FedRAMP,pathology,2009,private,ucla_health,edge_device,2107
10,regional,FedRAMP,radiology,1965,mixed,mayo_clinic,tier1_hospital,3534
11,international,FedRAMP,oncology,1969,mixed,johns_hopkins,tier2_hospital,357
12,regional,ISO27001,cardiology,1969,public,stanford_med,research_center,4423
13,national,ISO27001,neurology,2011,private,mass_general,mobile_unit,3586
14,regional,ISO27001,pathology,1988,research_grant,ucla_health,edge_device,4273
