node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,SOC2,radiology,1997,private,mayo_clinic,tier1_hospital,4205
1,local,HIPAA_compliant,oncology,2010,mixed,johns_hopkins,tier2_hospital,3387
2,local,FedRAMP,cardiology,1959,private,stanford_med,research_center,4033
3,national,SOC2,neurology,1998,public,mass_general,mobile_unit,4278
4,regional,SOC2,pathology,1955,mixed,ucla_health,edge_device,3929
5,regional,SOC2,radiology,1969,mixed,mayo_clinic,tier1_hospital,4636
6,national,ISO27001,oncology,1997,research_grant,johns_hopkins,tier2_hospital,3762
7,regional,SOC2,cardiology,1951,research_grant,stanford_med,research_center,1666
8,regional,HIPAA_compliant,neurology,2003,public,mass_general,mobile_unit,3140
9,national,ISO27001,pathology,1990,public,ucla_health,edge_device,2012
10,national,ISO27001,radiology,1982,public,mayo_clinic,tier1_hospital,4412
11,regional,SOC2,oncology,1982,public,johns_hopkins,tier2_hospital,2665
12,local,ISO27001,cardiology,2013,mixed,stanford_med,research_center,1132
13,regional,FedRAMP,neurology,1999,public,mass_general,mobile_unit,3144
14,local,HIPAA_compliant,pathology,1952,public,ucla_health,edge_device,634
