activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749357742.7166965,1
aggregation,,False,,,1,GossipAvg,1749357749.883069,
aggregation,,False,,,1,GossipAvg,1749357749.8832088,
aggregation,,True,,,1,GossipAvg,1749357749.8832324,
model_update,,,,38.07411113872696,1,,1749357750.5130937,
local_training,,,{},,2,,1749357750.8482804,1
aggregation,,False,,,2,GossipAvg,1749357752.137844,
aggregation,,False,,,2,GossipAvg,1749357752.1379974,
aggregation,,True,,,2,GossipAvg,1749357752.138004,
model_update,,,,22.91318981100061,2,,1749357752.6900957,
local_training,,,{},,3,,1749357753.0252473,1
aggregation,,False,,,3,GossipAvg,1749357754.442007,
aggregation,,False,,,3,GossipAvg,1749357754.4421597,
aggregation,,True,,,3,GossipAvg,1749357754.4421673,
model_update,,,,18.835828337283097,3,,1749357754.9868207,
