node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,4,256,tier1_hospital,0.993,high,20000
1,clinic_001,2000,tier_2,16,PIPEDA,8,128,tier2_hospital,0.979,high,10000
2,research_center_002,5000,tier_3,128,HIPAA,32,512,research_center,0.984,high,100000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,16,mobile_unit,0.885,standard,1000
4,edge_device_004,500,tier_2,2,HIPAA,0,16,edge_device,0.888,high,2000
5,hospital_005,5000,tier_1,128,HIPAA,8,128,tier1_hospital,0.993,standard,20000
6,clinic_006,5000,tier_2,64,GDPR,8,64,tier2_hospital,0.934,critical,10000
7,research_center_007,10000,tier_3,256,PIPEDA,32,512,research_center,0.999,high,50000
8,mobile_unit_008,100,tier_1,8,PIPEDA,2,16,mobile_unit,0.871,high,2000
9,edge_device_009,100,tier_2,2,PIPEDA,1,16,edge_device,0.752,standard,2000
10,hospital_010,5000,tier_1,32,local,4,512,tier1_hospital,0.983,high,10000
11,clinic_011,2000,tier_2,16,PIPEDA,4,128,tier2_hospital,0.92,standard,10000
12,research_center_012,5000,tier_3,128,PIPEDA,8,256,research_center,0.999,standard,50000
13,mobile_unit_013,500,tier_1,8,PIPEDA,1,64,mobile_unit,0.834,standard,5000
14,edge_device_014,100,tier_2,4,HIPAA,0,16,edge_device,0.894,standard,500
15,hospital_015,10000,tier_1,64,local,8,128,tier1_hospital,0.954,high,10000
16,clinic_016,2000,tier_2,16,GDPR,2,256,tier2_hospital,0.936,standard,20000
17,research_center_017,20000,tier_3,64,GDPR,16,512,research_center,0.993,standard,20000
18,mobile_unit_018,500,tier_1,16,HIPAA,2,16,mobile_unit,0.83,standard,1000
19,edge_device_019,50,tier_2,2,PIPEDA,0,16,edge_device,0.857,standard,2000
