param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.2579286098480225, 'mean': -0.003673510393127799, 'std': 0.19194014370441437}",1,1,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2458016872406006, 'mean': -0.004545120522379875, 'std': 0.1912066787481308}",1,2,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.246821880340576, 'mean': -0.004615602549165487, 'std': 0.19126513600349426}",1,3,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2452878952026367, 'mean': -0.00469101732596755, 'std': 0.19117286801338196}",1,4,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.245331048965454, 'mean': -0.004138253629207611, 'std': 0.19118818640708923}",1,5,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2487571239471436, 'mean': -0.00458921492099762, 'std': 0.1913798451423645}",1,6,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2457025051116943, 'mean': -0.004724832717329264, 'std': 0.1911964863538742}",1,7,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.239194631576538, 'mean': -0.004301029723137617, 'std': 0.19082289934158325}",1,8,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2433435916900635, 'mean': -0.004197834990918636, 'std': 0.19106975197792053}",1,9,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2490875720977783, 'mean': -0.004764233250170946, 'std': 0.19139504432678223}",1,10,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2363502979278564, 'mean': -0.004579337313771248, 'std': 0.19064877927303314}",1,11,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2323429584503174, 'mean': -0.00480118952691555, 'std': 0.19040711224079132}",1,12,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2488932609558105, 'mean': -0.004517803434282541, 'std': 0.1913895457983017}",1,13,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.259688138961792, 'mean': -0.004010370001196861, 'std': 0.19203709065914154}",1,14,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2425451278686523, 'mean': -0.004426802042871714, 'std': 0.1910174936056137}",1,15,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2576611042022705, 'mean': -0.004212964791804552, 'std': 0.19191327691078186}",1,16,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.2482552528381348, 'mean': -0.0038105142302811146, 'std': 0.19136735796928406}",1,17,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.249532461166382, 'mean': -0.004768551327288151, 'std': 0.19142115116119385}",1,18,,0,1749400460.6961048,parameter_transfer
"{'norm': 3.24778413772583, 'mean': -0.0043551307171583176, 'std': 0.19132794439792633}",1,19,,0,1749400460.6961048,parameter_transfer
,1,1,FedAvg,0,1749400460.6962996,aggregation
,1,2,FedAvg,0,1749400460.6962996,aggregation
,1,3,FedAvg,0,1749400460.6962996,aggregation
,1,4,FedAvg,0,1749400460.6962996,aggregation
,1,5,FedAvg,0,1749400460.6962996,aggregation
,1,6,FedAvg,0,1749400460.6962996,aggregation
,1,7,FedAvg,0,1749400460.6962996,aggregation
,1,8,FedAvg,0,1749400460.6962996,aggregation
,1,9,FedAvg,0,1749400460.6962996,aggregation
,1,10,FedAvg,0,1749400460.6962996,aggregation
,1,11,FedAvg,0,1749400460.6962996,aggregation
,1,12,FedAvg,0,1749400460.6962996,aggregation
,1,13,FedAvg,0,1749400460.6962996,aggregation
,1,14,FedAvg,0,1749400460.6962996,aggregation
,1,15,FedAvg,0,1749400460.6962996,aggregation
,1,16,FedAvg,0,1749400460.6962996,aggregation
,1,17,FedAvg,0,1749400460.6962996,aggregation
,1,18,FedAvg,0,1749400460.6962996,aggregation
,1,19,FedAvg,0,1749400460.6962996,aggregation
"{'norm': 3.2676119804382324, 'mean': -0.004554783459752798, 'std': 0.19249200820922852}",2,1,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2504565715789795, 'mean': -0.0036773134488612413, 'std': 0.19149968028068542}",2,2,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2407150268554688, 'mean': -0.004091177601367235, 'std': 0.19091713428497314}",2,3,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2588653564453125, 'mean': -0.003863236168399453, 'std': 0.19199161231517792}",2,4,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.247577428817749, 'mean': -0.004217755515128374, 'std': 0.1913188397884369}",2,5,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.247368335723877, 'mean': -0.004183083772659302, 'std': 0.19130729138851166}",2,6,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.255537986755371, 'mean': -0.0044172173365950584, 'std': 0.19178356230258942}",2,7,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.247955322265625, 'mean': -0.004696176387369633, 'std': 0.1913299858570099}",2,8,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.248131513595581, 'mean': -0.003704917151480913, 'std': 0.19136209785938263}",2,9,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2509920597076416, 'mean': -0.003962063230574131, 'std': 0.19152554869651794}",2,10,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.244333267211914, 'mean': -0.003839203156530857, 'std': 0.19113563001155853}",2,11,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2537615299224854, 'mean': -0.003385422984138131, 'std': 0.19169984757900238}",2,12,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2419614791870117, 'mean': -0.0039724260568618774, 'std': 0.19099310040473938}",2,13,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.251032590866089, 'mean': -0.004265747964382172, 'std': 0.19152143597602844}",2,14,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2473254203796387, 'mean': -0.003704828443005681, 'std': 0.19131462275981903}",2,15,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2434751987457275, 'mean': -0.003578892908990383, 'std': 0.19109010696411133}",2,16,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.255474805831909, 'mean': -0.004290176555514336, 'std': 0.19178271293640137}",2,17,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.2551698684692383, 'mean': -0.004338754341006279, 'std': 0.19176363945007324}",2,18,,0,1749400463.7027147,parameter_transfer
"{'norm': 3.240966558456421, 'mean': -0.003986971452832222, 'std': 0.1909341663122177}",2,19,,0,1749400463.7027147,parameter_transfer
,2,1,FedAvg,0,1749400463.702918,aggregation
,2,2,FedAvg,0,1749400463.702918,aggregation
,2,3,FedAvg,0,1749400463.702918,aggregation
,2,4,FedAvg,0,1749400463.702918,aggregation
,2,5,FedAvg,0,1749400463.702918,aggregation
,2,6,FedAvg,0,1749400463.702918,aggregation
,2,7,FedAvg,0,1749400463.702918,aggregation
,2,8,FedAvg,0,1749400463.702918,aggregation
,2,9,FedAvg,0,1749400463.702918,aggregation
,2,10,FedAvg,0,1749400463.702918,aggregation
,2,11,FedAvg,0,1749400463.702918,aggregation
,2,12,FedAvg,0,1749400463.702918,aggregation
,2,13,FedAvg,0,1749400463.702918,aggregation
,2,14,FedAvg,0,1749400463.702918,aggregation
,2,15,FedAvg,0,1749400463.702918,aggregation
,2,16,FedAvg,0,1749400463.702918,aggregation
,2,17,FedAvg,0,1749400463.702918,aggregation
,2,18,FedAvg,0,1749400463.702918,aggregation
,2,19,FedAvg,0,1749400463.702918,aggregation
"{'norm': 3.247122049331665, 'mean': -0.0035718190483748913, 'std': 0.19130517542362213}",3,1,,0,1749400466.780789,parameter_transfer
"{'norm': 3.2617549896240234, 'mean': -0.0038076224736869335, 'std': 0.19216303527355194}",3,2,,0,1749400466.780789,parameter_transfer
"{'norm': 3.249807834625244, 'mean': -0.004211612977087498, 'std': 0.19145043194293976}",3,3,,0,1749400466.780789,parameter_transfer
"{'norm': 3.2503652572631836, 'mean': -0.0034561993088573217, 'std': 0.19149842858314514}",3,4,,0,1749400466.780789,parameter_transfer
"{'norm': 3.2466139793395996, 'mean': -0.0038066895212978125, 'std': 0.19127067923545837}",3,5,,0,1749400466.780789,parameter_transfer
"{'norm': 3.254293441772461, 'mean': -0.003880989272147417, 'std': 0.19172179698944092}",3,6,,0,1749400466.780789,parameter_transfer
"{'norm': 3.260005474090576, 'mean': -0.004214214626699686, 'std': 0.19205144047737122}",3,7,,0,1749400466.780789,parameter_transfer
"{'norm': 3.250521183013916, 'mean': -0.004308950621634722, 'std': 0.19149033725261688}",3,8,,0,1749400466.780789,parameter_transfer
"{'norm': 3.2513747215270996, 'mean': -0.0045938640832901, 'std': 0.19153401255607605}",3,9,,0,1749400466.780789,parameter_transfer
"{'norm': 3.2450954914093018, 'mean': -0.004081452265381813, 'std': 0.19117552042007446}",3,10,,0,1749400466.780789,parameter_transfer
"{'norm': 3.254197597503662, 'mean': -0.004028612747788429, 'std': 0.1917131096124649}",3,11,,0,1749400466.780789,parameter_transfer
