accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4082.0,,NetworkStructureEvent,,,0.08333333333333333,"{'tier1_hospital': 5, 'tier2_hospital': 5, 'research_center': 5, 'mobile_unit': 5, 'edge_device': 5}",,25,,,,,5,,,,0,,network_structure,,,1749358306.7479568,ring,1160,25,,178,6480,
,,,,,InitialStateEvent,,,,,,25,,,,,,,,,0,,initial_state,,,1749358306.7481194,ring,,,,,,
0.1052,,,,,EvaluationEvent,2.3261516708374024,"{'loss': 2.3261516708374024, 'accuracy': 0.1052}",,,,,,,,,,,,,0,,evaluation,,,1749358309.6757736,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,,,LocalTrainingEvent,,{},,,25,,,,,,,,,,1,,local_training,,,1749358309.6759045,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 4.445795059204102, 'mean': 0.05311108008027077, 'std': 0.2565307319164276}}",,1,0,parameter_transfer,,"24,1",1749358316.9620245,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 4.429376602172852, 'mean': 0.0416015088558197, 'std': 0.2576667368412018}}",,1,1,parameter_transfer,,"0,2",1749358316.9620788,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.8665878772735596, 'mean': 0.050219401717185974, 'std': 0.22223743796348572}}",,1,2,parameter_transfer,,"1,3",1749358316.9620984,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.888951301574707, 'mean': 0.06163753569126129, 'std': 0.22071363031864166}}",,1,3,parameter_transfer,,"2,4",1749358316.962117,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.9403343200683594, 'mean': 0.06044689938426018, 'std': 0.22418008744716644}}",,1,4,parameter_transfer,,"3,5",1749358316.9621344,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.877488613128662, 'mean': 0.05595359578728676, 'std': 0.22152601182460785}}",,1,5,parameter_transfer,,"4,6",1749358316.9621518,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.8665971755981445, 'mean': 0.06059078499674797, 'std': 0.21963714063167572}}",,1,6,parameter_transfer,,"5,7",1749358316.962168,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{7: {'norm': 3.86496901512146, 'mean': 0.05323580279946327, 'std': 0.22143611311912537}}",,1,7,parameter_transfer,,"6,8",1749358316.9621842,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{8: {'norm': 4.007330894470215, 'mean': 0.047485675662755966, 'std': 0.2313103824853897}}",,1,8,parameter_transfer,,"7,9",1749358316.9622002,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{9: {'norm': 3.867271661758423, 'mean': 0.05997800827026367, 'std': 0.2198464423418045}}",,1,9,parameter_transfer,,"8,10",1749358316.962216,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{10: {'norm': 3.7669517993927, 'mean': 0.060693006962537766, 'std': 0.21351096034049988}}",,1,10,parameter_transfer,,"9,11",1749358316.962278,,,,,,,
